Sno,pc_code,pc_description,country_code,country_name,unit,quantity,norm_quantity,pc_type,organisation,bond,Class_Label
1,99,Other_Commodities,5423,U_S_A,Na,2.25E+07,3.18E+08,OtherCommodities,3M_INDIA_LIMITED,70,v64
2,99,Other_Commodities,10027,Bangladesh_Pr,Na,2.25E+07,3.18E+08,OtherCommodities,INDIA_INTERNATIONAL_EXPORTERS_[EH],47,v62
3,99,Other_Commodities,10077,China_P_Rp,Na,2.25E+07,3.18E+08,OtherCommodities,BHAVESH_TRADERS,67,v50
4,99,Other_Commodities,10179,Hong_Kong,Na,2.25E+07,3.18E+08,OtherCommodities,CRESCENT_POLYVINYL_PRIVATE_LIMITED,49,v28
5,99,Other_Commodities,10359,Singapore,Na,2.25E+07,3.18E+08,OtherCommodities,"AADIM_CRAFTS,",52,v32
6,99,Other_Commodities,10437,Vietnam_Soc_Rep,Na,2.25E+07,3.18E+08,OtherCommodities,INDIA_INTERNATIONAL_EXPORTERS_[EH],25,v38
7,99,Other_Commodities,11351,Saudi_Arab,Na,2.25E+07,3.18E+08,OtherCommodities,EMMPAC_HOLDINGS_PRIVATE_LIMITED,70,v25
8,99,Other_Commodities,11419,U_Arab_Emts,Na,2.25E+07,3.18E+08,OtherCommodities,"AADIM_CRAFTS,",36,v63
9,99,Other_Commodities,13147,Germany,Na,2.25E+07,3.18E+08,OtherCommodities,BHAVESH_TRADERS,28,v34
10,99,Other_Commodities,13421,U_K,Na,2.25E+07,3.18E+08,OtherCommodities,CRESCENT_POLYVINYL_PRIVATE_LIMITED,48,v45
11,A3,Rice_-Basmoti,5423,U_S_A,Ton,88941,8.07E+07,Agriculture_allied_products,A_E_AUTOMOTION_P_LIMITED,70,v45
12,A3,Rice_-Basmoti,10027,Bangladesh_Pr,Ton,818,742077.33,Agriculture_allied_products,BANWARI_AROMAS_PVT_LTD_[EH],47,v12
13,A3,Rice_-Basmoti,10179,Hong_Kong,Ton,937,850032.345,Agriculture_allied_products,RELIANCE_INDUSTRIES_LTD,49,v12
14,A3,Rice_-Basmoti,10359,Singapore,Ton,8107,7354548.795,Agriculture_allied_products,KAYILAI_PROJECTS_AND_TRADING_(OPC)_PRIVATE_LIMITED,52,v21
15,A3,Rice_-Basmoti,10437,Vietnam_Soc_Rep,Ton,5,4535.925,Agriculture_allied_products,A_R_BIOTECH_HERBALS_PRIVATE_LIMITED,25,v1
16,A3,Rice_-Basmoti,11351,Saudi_Arab,Ton,966301,8.77E+08,Agriculture_allied_products,MAA_KAMAKHYA_DARBAR_FRAGRANCES_(INDIA),70,v72
17,A3,Rice_-Basmoti,11419,U_Arab_Emts,Ton,277885,2.52E+08,Agriculture_allied_products,A_E_AUTOMOTION_P_LIMITED,36,v62
18,A3,Rice_-Basmoti,13147,Germany,Ton,13512,1.23E+07,Agriculture_allied_products,EUROASIAS_INGREDIENTS_PVT_LTD ,28,v22
19,A3,Rice_-Basmoti,13421,U_K,Ton,136339,1.24E+08,Agriculture_allied_products,RELIANCE_INDUSTRIES_LTD  ,48,v48
20,D7,Buffalo_Meat,5423,U_S_A,Ton,194,175993.89,Agriculture_allied_products,S_A_IMPEX,70,v5v6
21,D7,Buffalo_Meat,10077,China_P_Rp,Ton,56,50802.36,Agriculture_allied_products,PRIME_FISHERIES_PRIVATE_LIMITED,67,v3
22,D7,Buffalo_Meat,10179,Hong_Kong,Ton,480,435448.8,Agriculture_allied_products,AL-NASIR_EXPORTS_PVT.LTD.,49,v12
23,D7,Buffalo_Meat,10359,Singapore,Ton,943,855475.455,Agriculture_allied_products,DEFI_HEALTHCARE_PVT_LTD,52,v13
24,D7,Buffalo_Meat,10437,Vietnam_Soc_Rep,Ton,633352,5.75E+08,Agriculture_allied_products,AL-NASIR_EXPORTS_PVT.LTD.,25,v72
25,D7,Buffalo_Meat,11351,Saudi_Arab,Ton,73821,6.70E+07,Agriculture_allied_products,JAASWIIMPEX,70,v61
26,D7,Buffalo_Meat,11419,U_Arab_Emts,Ton,40875,3.71E+07,Agriculture_allied_products,VKM_FOODS_PRIVATE_LIMITED,36,v45
27,D7,Buffalo_Meat,13147,Germany,Ton,22,19958.07,Agriculture_allied_products,PRIME_FISHERIES_PRIVATE_LIMITED,28,v1
28,E7,Marine_Products,5423,U_S_A,Kgs,1.29E+08,1.29E+08,Agriculture_allied_products,ZARAH_EXPORT-IMPORT_PVT._LTD,70,v72
29,E7,Marine_Products,10027,Bangladesh_Pr,Kgs,4.85E+07,4.85E+07,Agriculture_allied_products,JAASWIIMPEX,47,v27
30,E7,Marine_Products,10077,China_P_Rp,Kgs,5.69E+07,5.69E+07,Agriculture_allied_products,EUROASIAS_INGREDIENTS_PVT_LTD ,67,v45
31,E7,Marine_Products,10179,Hong_Kong,Kgs,4026541,4026541,Agriculture_allied_products,RELIANCE_INDUSTRIES_LTD  ,49,v38
32,E7,Marine_Products,10359,Singapore,Kgs,4944344,4944344,Agriculture_allied_products,S_A_IMPEX,52,v27
33,E7,Marine_Products,10437,Vietnam_Soc_Rep,Kgs,4.34E+08,4.34E+08,Agriculture_allied_products,PRIME_FISHERIES_PRIVATE_LIMITED,25,v72
34,E7,Marine_Products,11351,Saudi_Arab,Kgs,1.21E+07,1.21E+07,Agriculture_allied_products,AL-NASIR_EXPORTS_PVT.LTD.,70,v29
35,E7,Marine_Products,11419,U_Arab_Emts,Kgs,2.50E+07,2.50E+07,Agriculture_allied_products,DEFI_HEALTHCARE_PVT_LTD,36,v54
36,E7,Marine_Products,13147,Germany,Kgs,5007902,5007902,Agriculture_allied_products,AL-NASIR_EXPORTS_PVT.LTD.,28,v27
37,E7,Marine_Products,13421,U_K,Kgs,1.86E+07,1.86E+07,Agriculture_allied_products,JAASWIIMPEX,48,v52
38,G5,"Pearl,_Precs,_Semiprecs_Stones",5423,U_S_A,Na,2.25E+07,3.18E+08,gems_and_jewelry,SWARUP_INTERNATIONAL,70,v81
39,G5,"Pearl,_Precs,_Semiprecs_Stones",10027,Bangladesh_Pr,Na,2.25E+07,3.18E+08,gems_and_jewelry,SEVEN_SEAS_EXIM,47,v12
40,G5,"Pearl,_Precs,_Semiprecs_Stones",10077,China_P_Rp,Na,2.25E+07,3.18E+08,gems_and_jewelry,SWARUP_INTERNATIONAL,67,v47
41,G5,"Pearl,_Precs,_Semiprecs_Stones",10179,Hong_Kong,Na,2.25E+07,3.18E+08,gems_and_jewelry,TRIMURTI_TRADING_COMPANY_PVT.LTD.,49,v1
42,G5,"Pearl,_Precs,_Semiprecs_Stones",10359,Singapore,Na,2.25E+07,3.18E+08,gems_and_jewelry,ZAS_INTERNATIONAL,52,v57
43,G5,"Pearl,_Precs,_Semiprecs_Stones",10437,Vietnam_Soc_Rep,Na,2.25E+07,3.18E+08,gems_and_jewelry,SWARUP_INTERNATIONAL,25,v12
44,G5,"Pearl,_Precs,_Semiprecs_Stones",11351,Saudi_Arab,Na,2.25E+07,3.18E+08,gems_and_jewelry,PADMANABH_TRIMBAK_BARVE,70,v3
45,G5,"Pearl,_Precs,_Semiprecs_Stones",11419,U_Arab_Emts,Na,2.25E+07,3.18E+08,gems_and_jewelry,ELCOT_INTERNATIONAL,36,v73
46,G5,"Pearl,_Precs,_Semiprecs_Stones",13147,Germany,Na,2.25E+07,3.18E+08,gems_and_jewelry,PADMANABH_TRIMBAK_BARVE,28,v31
47,G5,"Pearl,_Precs,_Semiprecs_Stones",13421,U_K,Na,2.25E+07,3.18E+08,gems_and_jewelry,M_S_ENTERPRISE,48,v45
48,G6,Gold,10179,Hong_Kong,Kgs,5,5,gems_and_jewelry,ZAS_INTERNATIONAL,49,v1
49,G6,Gold,11419,U_Arab_Emts,Kgs,69988,69988,gems_and_jewelry,RUPA_EXPORTS_PVT_LTD,36,v73
50,G6,Gold,13147,Germany,Kgs,3,3,gems_and_jewelry,SEVEN_SEAS_EXIM,28,v1
51,G9,Gold_And_Oth_Precs_Metl_Jwlery,5423,U_S_A,Na,2.25E+07,3.18E+08,gems_and_jewelry,NAARWARE_EXIM_PRIVATE_LIMITED,70,v72
52,G9,Gold_And_Oth_Precs_Metl_Jwlery,10027,Bangladesh_Pr,Na,2.25E+07,3.18E+08,gems_and_jewelry,M_S_ENTERPRISE,47,v2
53,G9,Gold_And_Oth_Precs_Metl_Jwlery,10077,China_P_Rp,Na,2.25E+07,3.18E+08,gems_and_jewelry,MALABAR_EXPORT_CORPORATION,67,v14
54,G9,Gold_And_Oth_Precs_Metl_Jwlery,10179,Hong_Kong,Na,2.25E+07,3.18E+08,gems_and_jewelry,RUPA_EXPORTS_PVT_LTD,49,v73
55,G9,Gold_And_Oth_Precs_Metl_Jwlery,10359,Singapore,Na,2.25E+07,3.18E+08,gems_and_jewelry,ELCOT_INTERNATIONAL,52,v62
56,G9,Gold_And_Oth_Precs_Metl_Jwlery,10437,Vietnam_Soc_Rep,Na,2.25E+07,3.18E+08,gems_and_jewelry,PADMANABH_TRIMBAK_BARVE,25,v1
57,G9,Gold_And_Oth_Precs_Metl_Jwlery,11351,Saudi_Arab,Na,2.25E+07,3.18E+08,gems_and_jewelry,NAARWARE_EXIM_PRIVATE_LIMITED,70,v18
58,G9,Gold_And_Oth_Precs_Metl_Jwlery,11419,U_Arab_Emts,Na,2.25E+07,3.18E+08,gems_and_jewelry,ELCOT_INTERNATIONAL,36,v80
59,G9,Gold_And_Oth_Precs_Metl_Jwlery,13147,Germany,Na,2.25E+07,3.18E+08,gems_and_jewelry,MALABAR_EXPORT_CORPORATION,28,v28
60,G9,Gold_And_Oth_Precs_Metl_Jwlery,13421,U_K,Na,2.25E+07,3.18E+08,gems_and_jewelry,AJAY_EXIM,48,v62
