Sno,pc_code,pc_description,country_code,country_name,unit,quantity,norm_quantity,pc_type,organisation,bond,Class_Label
1,99,Other_Commodities,3291,Nigeria,Na,9.10E+07,3059822163,OtherCommodities,Independent_National_Electoral_Commission,19,v16
2,99,Other_Commodities,5423,U_S_A,Na,9.10E+07,3059822163,OtherCommodities,American_Crop_Protection_Association,70,v65
3,99,Other_Commodities,10077,China_P_Rp,Na,9.10E+07,3059822163,OtherCommodities,China_Natural_Gas,67,v68
4,99,Other_Commodities,10187,Indonesia,Na,9.10E+07,3059822163,OtherCommodities,MedcoEnergi,67,v30
5,99,Other_Commodities,10217,Korea_Rp,Na,9.10E+07,3059822163,OtherCommodities,GS_Caltex,42,v39
6,99,Other_Commodities,11191,Iraq,Na,9.10E+07,3059822163,OtherCommodities,Shield_Group_Security,47,v1
7,99,Other_Commodities,11351,Saudi_Arab,Na,9.10E+07,3059822163,OtherCommodities,Saudi_Aramco,70,v19
8,99,Other_Commodities,11419,U_Arab_Emts,Na,9.10E+07,3059822163,OtherCommodities,RasGas,36,v34
9,99,Other_Commodities,13147,Germany,Na,9.10E+07,3059822163,OtherCommodities,Dana_Gas,28,v58
10,99,Other_Commodities,14389,Switzerland,Na,9.10E+07,3059822163,OtherCommodities,Tecan,69,v22
11,B8,Vegetable_Oils,5423,U_S_A,Ton,1164,1055963.34,Agriculture_allied_products,American_Crop_Protection_Association,70,v13
12,B8,Vegetable_Oils,10077,China_P_Rp,Ton,23,20865.255,Agriculture_allied_products,China_Zhongwang,67,v3
13,B8,Vegetable_Oils,10187,Indonesia,Ton,4930877,4473217651,Agriculture_allied_products,Pertamina,67,v75
14,B8,Vegetable_Oils,10217,Korea_Rp,Ton,2,1814.37,Agriculture_allied_products,GS_Caltex,42,v1
15,B8,Vegetable_Oils,11351,Saudi_Arab,Ton,5000,4535925,Agriculture_allied_products,Al_Baik,70,v15
16,B8,Vegetable_Oils,11419,U_Arab_Emts,Ton,239843,217581972,Agriculture_allied_products,Dana_Gas,36,v60
17,B8,Vegetable_Oils,13147,Germany,Ton,23,20865.255,Agriculture_allied_products,Bamix,28,v2
18,B8,Vegetable_Oils,14389,Switzerland,Ton,0,0,Agriculture_allied_products,Sinosteel,69,v1
19,F1,"Coal,Coke_And_Briquittes_Etc",5423,U_S_A,Ton,4270273,3873927612,Ores_and_minerals,American_Society_for_Metals,70,v65
20,F1,"Coal,Coke_And_Briquittes_Etc",10077,China_P_Rp,Ton,2046021,1856119561,Ores_and_minerals,China_Natural_Gas,67,v64
21,F1,"Coal,Coke_And_Briquittes_Etc",10187,Indonesia,Ton,1.18E+08,1.07E+11,Ores_and_minerals,Pelni,67,v82
22,F1,"Coal,Coke_And_Briquittes_Etc",11419,U_Arab_Emts,Ton,12510,11348884.35,Ores_and_minerals,Abu_Dhabi_Gas_Industries_Limited,36,v13
23,F1,"Coal,Coke_And_Briquittes_Etc",13147,Germany,Ton,259,234960.915,Ores_and_minerals,MB&F,28,v2
24,F1,"Coal,Coke_And_Briquittes_Etc",14389,Switzerland,Ton,26000,23586810,Ores_and_minerals,Sinosteel,69,v12
25,F2,Bulk_Minerals_And_Ores,3291,Nigeria,Na,9.10E+07,3059822163,Ores_and_minerals,Pindad,19,v16
26,F2,Bulk_Minerals_And_Ores,5423,U_S_A,Na,9.10E+07,3059822163,Ores_and_minerals,American_Society_for_Metals,70,v24
27,F2,Bulk_Minerals_And_Ores,10077,China_P_Rp,Na,9.10E+07,3059822163,Ores_and_minerals,Kimia_Farma,67,v24
28,F2,Bulk_Minerals_And_Ores,10187,Indonesia,Na,9.10E+07,3059822163,Ores_and_minerals,MB&F,67,v66
29,F2,Bulk_Minerals_And_Ores,10217,Korea_Rp,Na,9.10E+07,3059822163,Ores_and_minerals,Intamin,42,v15
30,F2,Bulk_Minerals_And_Ores,11351,Saudi_Arab,Na,9.10E+07,3059822163,Ores_and_minerals,Pelni,70,v21
31,F2,Bulk_Minerals_And_Ores,11419,U_Arab_Emts,Na,9.10E+07,3059822163,Ores_and_minerals,Abu_Dhabi_Gas_Industries_Limited,36,v60
32,F2,Bulk_Minerals_And_Ores,13147,Germany,Na,9.10E+07,3059822163,Ores_and_minerals,Bamix,28,v14
33,F2,Bulk_Minerals_And_Ores,14389,Switzerland,Na,9.10E+07,3059822163,Ores_and_minerals,Sinosteel,69,v1
34,G6,Gold,5423,U_S_A,Kgs,81986,81986,gems_and_jewelry,Dangote_Group,70,v73
35,G6,Gold,10077,China_P_Rp,Kgs,940,940,gems_and_jewelry,Maine_Jewelers_Association_US,67,v26
36,G6,Gold,10187,Indonesia,Kgs,200,200,gems_and_jewelry,Miniso,67,v18
