Date,Price,Open,High,Low,Change
01 01 2014,16.86,16.82,16.88,16.82,0.18
01 02 2014,16.95,16.85,16.99,16.81,0.53
01 03 2014,16.93,16.95,17.03,16.92,-0.12
01 06 2014,16.97,16.93,17.01,16.93,0.24
01 07 2014,16.96,16.96,17.01,16.96,-0.06
01 08 2014,16.92,16.96,16.97,16.9,-0.24
01 09 2014,16.91,16.92,16.95,16.87,-0.06
01 10 2014,16.86,16.9,16.91,16.83,-0.3
01 13 2014,16.75,16.85,16.86,16.72,-0.65
01 14 2014,16.74,16.75,16.75,16.74,-0.06
01 15 2014,16.77,16.74,16.8,16.72,0.18
01 16 2014,16.75,16.76,16.8,16.74,-0.12
01 17 2014,16.76,16.75,16.76,16.69,0.06
01 20 2014,16.78,16.75,16.79,16.75,0.12
01 21 2014,16.85,16.77,16.87,16.73,0.42
01 22 2014,16.83,16.85,16.89,16.8,-0.12
01 23 2014,16.86,16.83,16.89,16.83,0.18
01 24 2014,17.07,16.86,17.08,16.86,1.25
01 27 2014,17.18,17.07,17.24,17.05,0.64
01 28 2014,17.04,17.18,17.2,17.02,-0.81
01 29 2014,17.01,17.03,17.04,16.91,-0.18
01 30 2014,17.03,17.12,17.13,17.03,0.12
01 31 2014,17.07,16.99,17.08,16.97,0.23
02 03 2014,17.03,17.07,17.1,17.03,-0.23
02 04 2014,17.02,17.03,17.11,17.01,-0.06
02 05 2014,17.04,17.02,17.05,16.97,0.12
02 06 2014,16.98,17.04,17.04,16.98,-0.35
02 07 2014,16.96,16.96,16.99,16.95,-0.12
02 10 2014,17,16.98,17.02,16.9,0.24
02 11 2014,16.94,17,17.01,16.93,-0.35
02 12 2014,16.91,16.94,16.94,16.89,-0.18
02 13 2014,17,16.9,17.01,16.88,0.53
02 14 2014,16.84,16.99,17,16.84,-0.94
02 17 2014,16.84,16.84,16.9,16.83,0
02 18 2014,16.93,16.84,16.97,16.84,0.53
02 19 2014,16.95,16.93,16.95,16.92,0.12
02 20 2014,16.95,16.94,17,16.93,0
02 21 2014,16.92,16.94,16.95,16.89,-0.18
02 24 2014,16.9,16.91,16.92,16.86,-0.12
02 25 2014,16.88,16.9,16.91,16.84,-0.12
02 26 2014,16.88,16.87,16.9,16.85,0
02 27 2014,16.88,16.87,16.88,16.87,0
02 28 2014,16.82,16.88,16.92,16.81,-0.36
03 03 2014,16.89,16.82,16.9,16.82,0.42
03 04 2014,16.85,16.89,16.92,16.83,-0.24
03 05 2014,16.81,16.85,16.86,16.78,-0.24
03 06 2014,16.64,16.81,16.81,16.63,-1.01
03 07 2014,16.63,16.64,16.66,16.59,-0.06
03 10 2014,16.57,16.63,16.7,16.55,-0.36
03 11 2014,16.59,16.56,16.6,16.5,0.12
03 12 2014,16.67,16.59,16.69,16.59,0.48
03 13 2014,16.66,16.67,16.67,16.58,-0.06
03 14 2014,16.66,16.65,16.76,16.62,0
03 17 2014,16.63,16.66,16.67,16.62,-0.18
03 18 2014,16.64,16.63,16.67,16.57,0.06
03 19 2014,16.6,16.63,16.66,16.58,-0.24
03 20 2014,16.7,16.6,16.71,16.59,0.6
03 21 2014,16.58,16.7,16.7,16.58,-0.72
03 24 2014,16.55,16.58,16.58,16.51,-0.18
03 25 2014,16.47,16.54,16.55,16.45,-0.48
03 26 2014,16.38,16.46,16.47,16.35,-0.55
03 27 2014,16.4,16.37,16.43,16.37,0.12
03 28 2014,16.31,16.4,16.4,16.25,-0.55
03 31 2014,16.34,16.3,16.34,16.3,0.18
04 01 2014,16.34,16.34,16.35,16.31,0
04 02 2014,16.31,16.34,16.34,16.22,-0.18
04 03 2014,16.38,16.31,16.42,16.29,0.43
04 04 2014,16.36,16.38,16.44,16.35,-0.12
04 07 2014,16.37,16.36,16.4,16.27,0.06
04 08 2014,16.36,16.36,16.38,16.34,-0.06
04 09 2014,16.37,16.36,16.38,16.29,0.06
04 10 2014,16.36,16.37,16.42,16.34,-0.06
04 11 2014,16.38,16.35,16.43,16.35,0.12
04 14 2014,16.41,16.38,16.41,16.38,0.18
04 15 2014,16.4,16.4,16.43,16.39,-0.06
04 16 2014,16.44,16.4,16.45,16.38,0.24
04 17 2014,16.42,16.43,16.47,16.41,-0.12
04 18 2014,16.42,16.41,16.42,16.4,0
04 21 2014,16.5,16.41,16.5,16.41,0.49
04 22 2014,16.54,16.5,16.58,16.49,0.24
04 23 2014,16.63,16.54,16.66,16.54,0.54
04 24 2014,16.64,16.63,16.65,16.61,0.06
04 25 2014,16.51,16.63,16.65,16.48,-0.78
04 28 2014,16.51,16.51,16.54,16.45,0
04 29 2014,16.45,16.51,16.51,16.42,-0.36
04 30 2014,16.43,16.45,16.45,16.39,-0.12
05 01 2014,16.41,16.43,16.43,16.4,-0.12
05 02 2014,16.39,16.41,16.41,16.36,-0.12
05 05 2014,16.4,16.38,16.4,16.34,0.06
05 06 2014,16.33,16.4,16.4,16.32,-0.43
05 07 2014,16.34,16.33,16.38,16.32,0.06
05 08 2014,16.31,16.34,16.36,16.3,-0.18
05 09 2014,16.33,16.3,16.36,16.3,0.12
05 12 2014,16.35,16.31,16.37,16.2,0.12
05 13 2014,16.19,16.35,16.35,16.18,-0.98
05 14 2014,16.2,16.18,16.2,16.16,0.06
05 15 2014,16.19,16.19,16.23,16.09,-0.06
05 16 2014,15.95,16.18,16.19,15.94,-1.48
05 19 2014,15.89,15.95,15.96,15.89,-0.38
05 20 2014,15.95,15.89,16.02,15.89,0.38
05 21 2014,15.98,15.95,16.03,15.95,0.19
05 22 2014,15.87,15.98,15.98,15.86,-0.69
05 23 2014,15.93,15.86,15.94,15.86,0.38
05 26 2014,15.99,15.91,16.04,15.9,0.38
05 27 2014,16.08,15.98,16.09,15.97,0.56
05 28 2014,16.05,16.07,16.12,16.01,-0.19
05 29 2014,16.04,16.05,16.09,16,-0.06
05 30 2014,16.12,16.04,16.12,16.04,0.5
06 02 2014,16.11,16.09,16.14,16.08,-0.06
06 03 2014,16.16,16.1,16.18,16.08,0.31
06 04 2014,16.14,16.15,16.19,16.12,-0.12
06 05 2014,16.13,16.14,16.16,16.11,-0.06
06 06 2014,16.11,16.13,16.15,16.09,-0.12
06 09 2014,16.12,16.11,16.12,16.05,0.06
06 10 2014,16.12,16.12,16.16,16.1,0
06 11 2014,16.16,16.12,16.16,16.11,0.25
06 12 2014,16.14,16.15,16.17,16.09,-0.12
06 13 2014,16.26,16.14,16.28,16.14,0.74
06 16 2014,16.39,16.25,16.4,16.25,0.8
06 17 2014,16.43,16.38,16.48,16.34,0.24
06 18 2014,16.42,16.42,16.48,16.35,-0.06
06 19 2014,16.36,16.41,16.41,16.3,-0.37
