Date,Price,Open,High,Low,Change
01 01 2014,10.2264,10.2108,10.2404,10.2078,0.16
01 02 2014,10.2915,10.2213,10.3153,10.2007,0.64
01 03 2014,10.2767,10.3021,10.3404,10.2677,-0.14
01 06 2014,10.2954,10.2736,10.3185,10.2697,0.18
01 07 2014,10.2963,10.2942,10.3241,10.2929,0.01
01 08 2014,10.2731,10.2924,10.2984,10.257,-0.23
01 09 2014,10.2552,10.2705,10.2805,10.2328,-0.17
01 10 2014,10.2291,10.2537,10.2611,10.2129,-0.25
01 13 2014,10.1807,10.2386,10.2443,10.1605,-0.47
01 14 2014,10.1785,10.1731,10.1806,10.162,-0.02
01 15 2014,10.1852,10.1759,10.2054,10.1519,0.07
01 16 2014,10.1623,10.1743,10.1953,10.156,-0.22
01 17 2014,10.1723,10.1622,10.174,10.1266,0.1
01 20 2014,10.1814,10.1684,10.1883,10.164,0.09
01 21 2014,10.2279,10.1818,10.238,10.1518,0.46
01 22 2014,10.216,10.2237,10.2523,10.1971,-0.12
01 23 2014,10.2339,10.2118,10.2507,10.2103,0.18
01 24 2014,10.3648,10.2356,10.373,10.2314,1.28
01 27 2014,10.4339,10.3662,10.4703,10.3569,0.67
01 28 2014,10.3415,10.4298,10.4443,10.3287,-0.89
01 29 2014,10.3169,10.3376,10.3404,10.2492,-0.24
01 30 2014,10.3226,10.3161,10.385,10.3078,0.06
01 31 2014,10.3424,10.2938,10.354,10.2856,0.19
02 03 2014,10.3226,10.3433,10.3598,10.3185,-0.19
02 04 2014,10.3168,10.335,10.3671,10.3074,-0.06
02 05 2014,10.3284,10.2905,10.3317,10.2856,0.11
02 06 2014,10.2921,10.2872,10.3202,10.2856,-0.35
02 07 2014,10.2756,10.2877,10.2938,10.2648,-0.16
02 10 2014,10.3072,10.2838,10.3155,10.2414,0.31
02 11 2014,10.2672,10.3043,10.3088,10.2597,-0.39
02 12 2014,10.2427,10.2639,10.2689,10.2319,-0.24
02 13 2014,10.295,10.2357,10.3017,10.2204,0.51
02 14 2014,10.1956,10.2971,10.2986,10.1927,-0.97
02 17 2014,10.1987,10.194,10.2394,10.194,0.03
02 18 2014,10.2483,10.1959,10.2698,10.1928,0.49
02 19 2014,10.2429,10.2464,10.2484,10.2277,-0.05
02 20 2014,10.231,10.2307,10.2653,10.2245,-0.12
02 21 2014,10.2012,10.2137,10.2183,10.1852,-0.29
02 24 2014,10.1789,10.1988,10.2001,10.1563,-0.22
02 25 2014,10.1208,10.1355,10.1608,10.0975,-0.57
02 26 2014,10.1204,10.1014,10.1318,10.0924,0
02 27 2014,10.116,10.117,10.1259,10.1002,-0.04
02 28 2014,10.056,10.1145,10.1157,10.0421,-0.59
03 03 2014,10.0948,10.055,10.1021,10.0317,0.39
03 04 2014,10.0765,10.0931,10.1071,10.0563,-0.18
03 05 2014,10.0771,10.0731,10.1007,10.0587,0.01
03 06 2014,9.9885,10.082,10.1048,9.9856,-0.88
03 07 2014,9.9714,10.0036,10.0151,9.9535,-0.17
03 10 2014,9.912,9.9401,9.9857,9.9018,-0.6
03 11 2014,9.9256,9.9172,9.9304,9.8771,0.14
03 12 2014,9.9625,9.924,9.9747,9.9123,0.37
03 13 2014,9.9696,9.972,9.9758,9.9194,0.07
03 14 2014,9.9516,9.9608,10.0139,9.926,-0.18
03 17 2014,9.8881,9.9501,9.9521,9.8828,-0.64
03 18 2014,9.8699,9.8672,9.886,9.8344,-0.18
03 19 2014,9.842,9.858,9.8762,9.8283,-0.28
03 20 2014,9.8498,9.8118,9.8613,9.7865,0.08
03 21 2014,9.7831,9.8454,9.8605,9.7819,-0.68
03 24 2014,9.8098,9.7891,9.8179,9.7516,0.27
03 25 2014,9.753,9.8238,9.8395,9.7446,-0.58
03 26 2014,9.6861,9.7423,9.7447,9.6709,-0.69
