Date,Price,Open,High,Low,Change 
01 01 2014,102.563,102.31,102.643,102.186,0.21
01 02 2014,102.459,102.525,103.151,102.28,-0.1
01 03 2014,102.094,102.424,102.922,101.899,-0.36
01 06 2014,102.231,102.025,102.412,101.664,0.13
01 07 2014,102.199,102.213,102.463,101.998,-0.03
01 08 2014,102.249,102.184,102.293,101.782,0.05
01 09 2014,102.338,102.212,102.422,101.974,0.09
01 10 2014,102.039,102.318,102.367,101.489,-0.29
01 13 2014,100.793,102.009,102.188,100.561,-1.22
01 14 2014,101.093,100.782,101.246,100.612,0.3
01 15 2014,100.812,101.049,101.376,100.439,-0.28
01 16 2014,100.642,100.79,101.037,100.425,-0.17
01 17 2014,101.085,100.628,101.305,100.082,0.44
01 20 2014,101.259,101.043,101.389,100.889,0.17
01 21 2014,101.962,101.235,102.023,100.938,0.69
01 22 2014,102.466,101.935,102.534,101.626,0.49
01 23 2014,103.037,102.452,103.081,102.329,0.56
01 24 2014,103.344,103.023,104.236,102.917,0.3
01 27 2014,104.656,103.303,104.844,103.246,1.27
01 28 2014,103.743,104.645,104.992,103.456,-0.87
01 29 2014,103.475,103.693,103.809,102.918,-0.26
01 30 2014,103.138,103.434,104.171,102.959,-0.33
01 31 2014,103.026,103.124,103.352,102.705,-0.11
02 03 2014,102.013,103.071,103.091,101.891,-0.98
02 04 2014,102.084,102.004,102.442,101.796,0.07
02 05 2014,102.097,102.066,102.248,101.538,0.01
02 06 2014,101.82,102.072,102.235,101.476,-0.27
02 07 2014,102.252,101.8,102.308,101.625,0.42
02 10 2014,102.436,102.228,102.579,101.867,0.18
02 11 2014,102.36,102.395,102.629,102.102,-0.07
02 12 2014,103.049,102.352,103.081,102.014,0.67
02 13 2014,103.997,103.032,104.091,103.007,0.92
02 14 2014,103.585,103.973,104.075,103.39,-0.4
02 17 2014,103.371,103.555,104.256,103.23,-0.21
02 18 2014,103.744,103.353,104.08,103.316,0.36
02 19 2014,103.819,103.718,104.106,103.52,0.07
02 20 2014,103.632,103.793,104.125,103.418,-0.18
02 21 2014,103.255,103.607,103.921,103.183,-0.36
02 24 2014,103.395,103.254,103.475,102.918,0.14
02 25 2014,103.394,103.371,103.668,103.101,0
02 26 2014,103.344,103.347,103.603,103.005,-0.05
02 27 2014,103.46,103.333,103.511,102.98,0.11
02 28 2014,103.479,103.424,104.061,103.005,0.02
03 03 2014,103.41,103.467,103.913,103.233,-0.07
03 04 2014,103.159,103.39,103.565,103.032,-0.24
03 05 2014,103.269,103.127,103.394,102.756,0.11
03 06 2014,102.303,103.252,103.312,101.95,-0.94
03 07 2014,102.106,102.292,102.546,101.971,-0.19
03 10 2014,101.276,102.101,102.644,101.133,-0.81
03 11 2014,101.273,101.256,101.468,100.794,0
03 12 2014,101.745,101.246,101.832,101.221,0.47
03 13 2014,101.703,101.715,102.267,101.271,-0.04
03 14 2014,101.885,101.683,102.311,101.431,0.18
03 17 2014,101.632,101.843,101.924,101.399,-0.25
03 18 2014,101.408,101.6,101.71,101.078,-0.22
03 19 2014,100.868,101.371,101.632,100.621,-0.53
03 20 2014,101.245,100.834,101.555,100.724,0.37
03 21 2014,100.403,101.219,101.34,100.355,-0.83
03 24 2014,100.272,100.404,100.516,99.912,-0.13
03 25 2014,99.975,100.254,100.323,99.631,-0.3
03 26 2014,99.76,99.955,100.052,99.267,-0.22
03 27 2014,100.058,99.724,100.415,99.593,0.3
03 28 2014,99.645,100.053,100.16,99.134,-0.41
03 31 2014,100.006,99.688,100.138,99.548,0.36
04 01 2014,99.802,99.962,100.096,99.703,-0.2
04 02 2014,99.601,99.758,99.835,99.011,-0.2
04 03 2014,99.874,99.584,100.191,99.527,0.27
04 04 2014,99.618,99.85,100.196,99.444,-0.26
04 07 2014,99.845,99.565,99.941,99.022,0.23
04 08 2014,100.639,99.831,100.687,99.789,0.8
04 09 2014,101.005,100.604,101.053,100.163,0.36
04 10 2014,100.835,100.993,101.296,100.635,-0.17
04 11 2014,100.703,100.821,101.237,100.572,-0.13
04 14 2014,100.803,100.54,100.87,100.456,0.1
04 15 2014,100.773,100.786,100.894,100.518,-0.03
04 16 2014,101.418,100.759,101.526,100.682,0.64
04 17 2014,101.254,101.385,101.829,101.191,-0.16
04 18 2014,101.34,101.233,101.34,101.056,0.08
04 21 2014,101.751,101.197,101.864,101.128,0.41
04 22 2014,102.228,101.725,102.455,101.688,0.47
04 23 2014,102.532,102.204,102.883,102.186,0.3
04 24 2014,102.698,102.521,102.711,102.352,0.16
04 25 2014,101.913,102.666,102.775,101.785,-0.76
04 28 2014,101.938,101.815,102.234,101.464,0.02
04 29 2014,101.68,101.92,102.01,101.401,-0.25
04 30 2014,101.82,101.669,101.951,101.248,0.14
05 01 2014,101.814,101.806,101.977,101.647,-0.01
05 02 2014,101.511,101.779,101.849,101.189,-0.3
05 05 2014,101.604,101.489,101.641,101.22,0.09
05 06 2014,101.828,101.56,102.109,101.346,0.22
05 07 2014,101.767,101.805,102.101,101.711,-0.06
05 08 2014,101.428,101.735,101.974,101.331,-0.33
05 09 2014,101.047,101.403,101.744,100.795,-0.38
05 12 2014,101.303,100.955,101.513,100.282,0.25
05 13 2014,100.056,101.28,101.353,99.971,-1.23
05 14 2014,99.736,100.019,100.309,99.562,-0.32
05 15 2014,99.836,99.701,100.004,98.973,0.1
05 16 2014,98.513,99.811,99.874,98.415,-1.33
05 19 2014,98.149,98.45,98.623,98.097,-0.37
05 20 2014,98.654,98.115,99.067,98.086,0.51
05 21 2014,99.203,98.623,99.417,98.576,0.56
05 22 2014,98.33,99.174,99.232,98.186,-0.88
05 23 2014,98.533,98.296,98.794,98.184,0.21
05 26 2014,98.891,98.507,99.268,98.301,0.36
05 27 2014,99.257,98.868,99.667,98.761,0.37
05 28 2014,98.506,99.24,99.557,98.39,-0.76
05 29 2014,98.494,98.489,98.829,98.227,-0.01
05 30 2014,99.163,98.46,99.323,98.436,0.68
06 02 2014,99.061,99.18,99.268,98.866,-0.1
06 03 2014,99.392,99.047,99.582,98.871,0.33
06 04 2014,99.232,99.366,99.559,98.888,-0.16
06 05 2014,99.678,99.18,99.702,99.014,0.45
06 06 2014,99.429,99.644,99.729,99.281,-0.25
06 09 2014,99.482,99.37,99.561,99.111,0.05
06 10 2014,99.221,99.456,99.767,99.103,-0.26
06 11 2014,99.62,99.196,99.751,99.083,0.4
06 12 2014,100.377,99.597,100.389,99.363,0.76
06 13 2014,101.295,100.343,101.44,100.302,0.91
06 16 2014,102.215,101.305,102.321,101.293,0.91
06 17 2014,102.352,102.187,102.696,101.757,0.13
06 18 2014,102.468,102.318,102.632,101.839,0.11
06 19 2014,102.392,102.43,102.532,101.703,-0.07
06 20 2014,102.373,102.387,102.898,102.302,-0.02
06 23 2014,102.438,102.344,102.669,102.204,0.06
06 24 2014,102.185,102.409,102.459,102.002,-0.25
06 25 2014,102.046,102.159,102.532,101.933,-0.14
06 26 2014,102.523,102.017,102.597,101.932,0.47
06 27 2014,102.286,102.476,102.609,102.116,-0.23
06 30 2014,102.736,102.159,102.845,102.133,0.44
07 01 2014,103.003,102.713,103.111,102.655,0.26
07 02 2014,102.465,102.965,103.084,102.278,-0.52
07 03 2014,102.481,102.454,102.613,102.115,0.02
07 04 2014,102.486,102.463,102.722,102.286,0
07 07 2014,102.688,102.48,102.992,102.318,0.2
07 08 2014,102.369,102.647,102.816,101.966,-0.31
07 09 2014,102.542,102.335,102.701,102.1,0.17
07 10 2014,103.126,102.507,103.205,102.119,0.57
07 11 2014,102.91,103.111,103.352,102.608,-0.21
07 14 2014,102.721,102.833,103.066,102.507,-0.18
07 15 2014,103.073,102.686,103.373,102.45,0.34
07 16 2014,103.037,103.052,103.299,102.877,-0.03
07 17 2014,102.919,103.022,103.198,102.797,-0.11
07 18 2014,103.015,102.902,103.36,102.681,0.09
07 21 2014,102.871,103.025,103.1,102.745,-0.14
07 22 2014,102.566,102.866,102.939,102.402,-0.3
07 23 2014,102.296,102.538,102.852,102.032,-0.26
07 24 2014,102.131,102.267,102.459,102.005,-0.16
07 25 2014,101.948,102.097,102.285,101.786,-0.18
07 28 2014,102.057,101.902,102.242,101.902,0.11
07 29 2014,101.887,102.028,102.216,101.781,-0.17
07 30 2014,101.596,101.853,102.113,101.423,-0.29
07 31 2014,102.254,101.579,102.308,101.513,0.65
08 01 2014,102.966,102.239,103.234,102.148,0.7
08 04 2014,102.772,102.932,103.05,102.402,-0.19
08 05 2014,102.751,102.757,102.891,102.243,-0.02
08 06 2014,103.656,102.737,103.686,102.621,0.88
08 07 2014,103.09,103.619,103.68,102.978,-0.55
08 08 2014,102.561,103.079,103.772,102.495,-0.51
08 11 2014,102.695,102.605,102.834,102.373,0.13
08 12 2014,102.706,102.68,102.73,102.407,0.01
08 13 2014,101.956,102.682,103.221,101.912,-0.73
08 14 2014,101.398,101.93,101.975,101.317,-0.55
08 15 2014,101.482,101.378,101.635,101.338,0.08
08 18 2014,101.673,101.605,101.752,101.538,0.19
08 19 2014,100.823,101.648,101.662,100.767,-0.84
08 20 2014,100.594,100.803,101.206,100.54,-0.23
08 21 2014,100.596,100.582,100.864,100.394,0
08 22 2014,100.204,100.573,100.617,100.083,-0.39
08 25 2014,100.416,100.184,100.545,99.918,0.21
08 26 2014,99.959,100.399,100.488,99.933,-0.46
08 27 2014,100.213,99.951,100.394,99.915,0.25
08 28 2014,100.349,100.196,100.665,100.16,0.14
08 29 2014,100.454,100.331,100.571,100.202,0.1
09 01 2014,100.525,100.396,100.683,100.213,0.07
09 02 2014,99.951,100.514,100.641,99.91,-0.57
09 03 2014,99.582,99.934,99.976,99.376,-0.37
09 04 2014,98.583,99.552,99.612,98.542,-1
09 05 2014,98.607,98.566,98.768,98.282,0.02
09 08 2014,97.076,97.832,98.064,97.001,-1.55
09 09 2014,97.614,97.043,97.849,96.79,0.55
09 10 2014,98.782,97.596,98.893,97.56,1.2
09 11 2014,99.041,98.757,99.133,98.457,0.26
09 12 2014,98.677,99.021,99.192,98.271,-0.37
09 15 2014,99.189,98.678,99.41,98.429,0.52
09 16 2014,99.388,99.171,99.602,98.734,0.2
09 17 2014,99.142,99.373,99.684,98.944,-0.25
09 18 2014,99.623,99.115,99.931,98.926,0.49
09 19 2014,99.129,99.583,100.465,99.068,-0.5
09 22 2014,99.712,99.106,99.761,99.106,0.59
09 23 2014,100.06,99.681,100.182,99.351,0.35
09 24 2014,99.581,100.032,100.188,99.499,-0.48
09 25 2014,100.084,99.554,100.242,99.328,0.51
09 26 2014,99.343,100.072,100.513,99.261,-0.74
09 29 2014,99.983,99.316,100.257,99.139,0.64
09 30 2014,100.427,99.943,100.516,99.76,0.44
10 01 2014,99.908,100.393,100.467,99.626,-0.52
10 02 2014,99.356,99.871,100.201,99.133,-0.55
10 03 2014,98.254,99.336,99.459,98.148,-1.11
10 06 2014,98.989,98.191,99.087,98.093,0.75
10 07 2014,98.673,98.954,99.024,98.381,-0.32
10 08 2014,99.207,98.64,99.292,98.383,0.54
10 09 2014,98.417,99.191,99.34,98.148,-0.8
10 10 2014,98.531,98.384,98.688,98.069,0.12
10 13 2014,98.135,98.492,98.841,97.891,-0.4
10 14 2014,97.654,98.104,98.291,97.571,-0.49
10 15 2014,98.34,97.608,98.64,97.212,0.7
10 16 2014,99.488,98.321,99.544,98.029,1.17
10 17 2014,98.763,99.474,99.649,98.652,-0.73
10 20 2014,98.987,98.65,99.09,98.471,0.23
10 21 2014,98.522,98.944,99.226,98.476,-0.47
10 22 2014,98.229,98.482,98.787,97.985,-0.3
10 23 2014,98.061,98.196,98.281,97.813,-0.17
10 24 2014,98.425,98.027,98.486,97.948,0.37
10 27 2014,98.827,98.449,98.969,98.327,0.41
10 28 2014,98.7,98.799,99.099,98.561,-0.13
10 29 2014,98.132,98.684,99.121,98.04,-0.58
