Date,Price,Open,High,Low,Change 
01 01 2014,7.9848,7.97,7.9953,7.9695,0.17
01 02 2014,8.0309,7.983,8.0495,7.9625,0.58
01 03 2014,8.0204,8.0294,8.0686,8.0135,-0.13
01 06 2014,8.0359,8.0185,8.0554,8.0176,0.19
01 07 2014,8.0347,8.035,8.0568,8.0325,-0.01
01 08 2014,8.0171,8.0339,8.0368,8.0036,-0.22
01 09 2014,8.0078,8.015,8.027,7.9912,-0.12
01 10 2014,7.9834,8.0067,8.0083,7.972,-0.3
01 13 2014,7.9343,7.9827,7.9841,7.9202,-0.62
01 14 2014,7.9299,7.9335,7.9352,7.9275,-0.06
01 15 2014,7.9414,7.9284,7.9592,7.9205,0.15
01 16 2014,7.9358,7.94,7.9573,7.931,-0.07
01 17 2014,7.9359,7.935,7.9366,7.9064,0
01 20 2014,7.9449,7.9338,7.9524,7.932,0.11
01 21 2014,7.9778,7.9441,7.9856,7.9223,0.41
01 22 2014,7.9685,7.977,7.9959,7.9549,-0.12
01 23 2014,7.9822,7.9677,7.9976,7.9668,0.17
01 24 2014,8.0765,7.9815,8.0831,7.9763,1.18
01 27 2014,8.1255,8.0742,8.1567,8.0705,0.61
01 28 2014,8.0585,8.1246,8.139,8.0499,-0.82
01 29 2014,8.0467,8.0565,8.0623,7.9988,-0.15
01 30 2014,8.0551,8.0447,8.0992,8.0413,0.1
01 31 2014,8.0742,8.0538,8.0808,8.0276,0.24
02 03 2014,8.055,8.0732,8.0874,8.0536,-0.24
02 04 2014,8.0541,8.054,8.0918,8.0483,-0.01
02 05 2014,8.0653,8.0533,8.0676,8.0315,0.14
02 06 2014,8.0391,8.0637,8.0681,8.0355,-0.32
02 07 2014,8.0304,8.0377,8.0455,8.0227,-0.11
02 10 2014,8.0511,8.0298,8.058,8.0022,0.26
02 11 2014,8.0225,8.0489,8.0518,8.0165,-0.36
02 12 2014,8.0051,8.0218,8.0229,7.9993,-0.22
02 13 2014,8.0489,8.0043,8.0533,7.9924,0.55
02 14 2014,7.9756,8.048,8.0495,7.9739,-0.91
02 17 2014,7.9748,7.9744,8.0055,7.9714,-0.01
02 18 2014,8.0188,7.974,8.0349,7.9731,0.55
02 19 2014,8.0257,8.0172,8.026,8.0151,0.09
02 20 2014,8.0252,8.0243,8.0518,8.0195,-0.01
02 21 2014,8.0125,8.0237,8.0254,7.9996,-0.16
02 24 2014,8.0007,8.0105,8.0146,7.984,-0.15
02 25 2014,7.9866,7.9998,8.0034,7.9682,-0.18
02 26 2014,7.9865,7.9849,7.9981,7.9754,0
02 27 2014,7.9874,7.9854,7.9893,7.9852,0.01
02 28 2014,7.963,7.9865,8.0058,7.9555,-0.31
03 03 2014,7.9935,7.9616,8.0023,7.9602,0.38
03 04 2014,7.9763,7.9927,8.0095,7.9654,-0.22
03 05 2014,7.9572,7.9743,7.9779,7.943,-0.24
03 06 2014,7.8748,7.956,7.958,7.8724,-1.04
03 07 2014,7.8709,7.8741,7.8827,7.8523,-0.05
03 10 2014,7.8396,7.8696,7.903,7.8316,-0.4
03 11 2014,7.8514,7.8388,7.8558,7.8081,0.15
03 12 2014,7.883,7.8506,7.8938,7.8502,0.4
03 13 2014,7.8782,7.8823,7.886,7.8436,-0.06
03 14 2014,7.8799,7.8773,7.9267,7.8619,0.02
03 17 2014,7.8656,7.879,7.8823,7.8626,-0.18
03 18 2014,7.8686,7.8642,7.8824,7.8364,0.04
03 19 2014,7.852,7.8666,7.879,7.8448,-0.21
03 20 2014,7.9003,7.8499,7.9062,7.8494,0.62
03 21 2014,7.8499,7.899,7.9003,7.8447,-0.64
03 24 2014,7.8348,7.8483,7.8498,7.8148,-0.19
03 25 2014,7.7982,7.8342,7.8359,7.7894,-0.47
03 26 2014,7.7524,7.7973,7.7983,7.74,-0.59
03 27 2014,7.7653,7.7512,7.7795,7.7483,0.17
03 28 2014,7.7199,7.7641,7.7668,7.6929,-0.58
03 31 2014,7.7371,7.7175,7.7378,7.7175,0.22
04 01 2014,7.7374,7.7358,7.7405,7.7242,0
04 02 2014,7.7235,7.7359,7.7372,7.6788,-0.18
04 03 2014,7.7569,7.7228,7.7731,7.7122,0.43
04 04 2014,7.746,7.7562,7.786,7.7432,-0.14
04 07 2014,7.7514,7.7446,7.7678,7.7034,0.07
04 08 2014,7.7493,7.7506,7.7569,7.74,-0.03
04 09 2014,7.7572,7.7478,7.7588,7.7147,0.1
04 10 2014,7.7486,7.7564,7.7756,7.7414,-0.11
04 11 2014,7.7622,7.7479,7.782,7.746,0.18
04 14 2014,7.7714,7.7615,7.7715,7.76,0.12
04 15 2014,7.7683,7.7707,7.7834,7.7632,-0.04
04 16 2014,7.7861,7.7674,7.7927,7.7609,0.23
04 17 2014,7.7756,7.7854,7.8027,7.7715,-0.13
04 18 2014,7.7756,7.7748,7.776,7.7668,0
04 21 2014,7.8148,7.7743,7.8178,7.7706,0.5
04 22 2014,7.8377,7.814,7.8533,7.8134,0.29
04 23 2014,7.8805,7.8369,7.8932,7.8364,0.55
04 24 2014,7.8819,7.8796,7.8861,7.8666,0.02
04 25 2014,7.8217,7.8805,7.887,7.8076,-0.76
04 28 2014,7.8227,7.8209,7.8344,7.7937,0.01
04 29 2014,7.7934,7.822,7.8231,7.7786,-0.37
04 30 2014,7.7837,7.7925,7.7943,7.7667,-0.12
05 01 2014,7.7743,7.7829,7.7847,7.7717,-0.12
05 02 2014,7.7632,7.7725,7.7762,7.7508,-0.14
05 05 2014,7.7709,7.7611,7.772,7.7386,0.1
05 06 2014,7.738,7.7693,7.7715,7.7341,-0.42
05 07 2014,7.7425,7.736,7.7601,7.7334,0.06
05 08 2014,7.7273,7.7404,7.7531,7.7222,-0.2
05 09 2014,7.7358,7.7251,7.7531,7.7222,0.11
05 12 2014,7.7474,7.7343,7.7553,7.6765,0.15
05 13 2014,7.6713,7.7466,7.749,7.6679,-0.98
05 14 2014,7.6738,7.6692,7.6778,7.6595,0.03
05 15 2014,7.6709,7.6717,7.6906,7.6215,-0.04
05 16 2014,7.557,7.6689,7.6711,7.5547,-1.48
05 19 2014,7.5302,7.5549,7.5613,7.5277,-0.35
05 20 2014,7.5572,7.5282,7.5885,7.5277,0.36
05 21 2014,7.5709,7.5551,7.5938,7.5547,0.18
05 22 2014,7.5169,7.5701,7.5726,7.5111,-0.71
05 23 2014,7.5485,7.5149,7.5514,7.5142,0.42
05 26 2014,7.5727,7.5473,7.6003,7.5323,0.32
05 27 2014,7.6155,7.572,7.6226,7.5636,0.57
05 28 2014,7.6021,7.6147,7.6384,7.5853,-0.18
05 29 2014,7.5999,7.6014,7.6207,7.5813,-0.03
05 30 2014,7.6352,7.5979,7.6357,7.5972,0.46
06 02 2014,7.629,7.6332,7.645,7.6169,-0.08
06 03 2014,7.654,7.6282,7.6658,7.6177,0.33
06 04 2014,7.6462,7.6526,7.6702,7.6359,-0.1
06 05 2014,7.644,7.6441,7.6574,7.6327,-0.03
06 06 2014,7.6331,7.6419,7.6509,7.6224,-0.14
06 09 2014,7.6379,7.6322,7.6383,7.6064,0.06
06 10 2014,7.6391,7.6368,7.6566,7.6264,0.02
06 11 2014,7.6551,7.637,7.6584,7.6356,0.21
06 12 2014,7.6494,7.6537,7.6593,7.6223,-0.07
06 13 2014,7.7029,7.6473,7.7158,7.6468,0.7
06 16 2014,7.7645,7.7014,7.7714,7.7012,0.8
06 17 2014,7.7832,7.7625,7.8077,7.7424,0.24
06 18 2014,7.7795,7.7812,7.8105,7.7467,-0.05
06 19 2014,7.7535,7.7773,7.7784,7.7214,-0.33
06 20 2014,7.7628,7.7525,7.7853,7.7521,0.12
06 23 2014,7.7614,7.7612,7.7797,7.7405,-0.02
06 24 2014,7.761,7.7591,7.7628,7.7488,-0.01
