Date,Price,Open,High,Low,Change 
01 01 2014,0.0051,0.0051,0.0051,0.0051,0
01 02 2014,0.0051,0.0051,0.0051,0.0051,0
01 03 2014,0.0051,0.0051,0.0052,0.0051,0
01 05 2014,0.0051,0.0051,0.0051,0.0051,0
01 06 2014,0.0051,0.0051,0.0052,0.0051,0
01 07 2014,0.0051,0.0051,0.0052,0.0051,0
01 08 2014,0.0051,0.0051,0.0052,0.0051,0
01 09 2014,0.0051,0.0051,0.0052,0.0051,0
01 10 2014,0.0052,0.0051,0.0052,0.0051,1.96
01 12 2014,0.0052,0.0052,0.0052,0.0052,0
01 13 2014,0.0052,0.0052,0.0052,0.0051,0
01 14 2014,0.0051,0.0052,0.0052,0.0051,-1.92
01 15 2014,0.0052,0.0051,0.0052,0.0051,1.96
01 16 2014,0.005,0.0052,0.0052,0.005,-3.85
01 17 2014,0.0052,0.005,0.0052,0.005,4
01 19 2014,0.0052,0.0052,0.0052,0.0052,0
01 20 2014,0.0052,0.0052,0.0052,0.0052,0
01 21 2014,0.0051,0.0052,0.0052,0.0051,-1.92
01 22 2014,0.0051,0.0051,0.0052,0.0051,0
01 23 2014,0.0051,0.0051,0.0052,0.0051,0
01 24 2014,0.0052,0.0051,0.0052,0.0051,1.96
01 26 2014,0.0052,0.0052,0.0052,0.0052,0
01 27 2014,0.0052,0.0052,0.0052,0.0052,0
01 28 2014,0.0052,0.0052,0.0052,0.0051,0
01 29 2014,0.0051,0.0052,0.0052,0.0051,-1.92
01 30 2014,0.0051,0.0051,0.0052,0.0051,0
01 31 2014,0.0051,0.0051,0.0052,0.0051,0
02 02 2014,0.0052,0.0052,0.0052,0.0052,1.96
02 03 2014,0.0052,0.0052,0.0052,0.0051,0
02 04 2014,0.0052,0.0052,0.0052,0.0052,0
02 05 2014,0.0052,0.0052,0.0052,0.0052,0
02 06 2014,0.0052,0.0052,0.0052,0.0052,0
02 07 2014,0.0052,0.0052,0.0052,0.0052,0
02 09 2014,0.0052,0.0052,0.0052,0.0052,0
02 10 2014,0.0052,0.0052,0.0052,0.0052,0
02 11 2014,0.0052,0.0052,0.0052,0.0052,0
02 12 2014,0.0051,0.0052,0.0052,0.0051,-1.92
02 13 2014,0.0048,0.0051,0.0053,0.0048,-5.88
02 14 2014,0.0053,0.0048,0.0053,0.0048,10.42
02 16 2014,0.0053,0.0053,0.0053,0.0053,0
02 17 2014,0.0053,0.0053,0.0053,0.0053,0
02 18 2014,0.0052,0.0053,0.0054,0.0052,-1.89
02 19 2014,0.0053,0.0052,0.0053,0.0052,1.92
02 20 2014,0.0053,0.0053,0.0053,0.0053,0
02 21 2014,0.0053,0.0053,0.0053,0.0053,0
02 23 2014,0.0053,0.0053,0.0053,0.0053,0
02 24 2014,0.0053,0.0053,0.0054,0.0053,0
02 25 2014,0.0053,0.0053,0.0054,0.0053,0
02 26 2014,0.0053,0.0053,0.0054,0.0053,0
02 27 2014,0.0053,0.0053,0.0054,0.0053,0
02 28 2014,0.0053,0.0054,0.0054,0.0053,0
03 02 2014,0.0053,0.0053,0.0053,0.0053,0
03 03 2014,0.0053,0.0053,0.0054,0.0053,0
03 04 2014,0.0053,0.0053,0.0054,0.0053,0
03 05 2014,0.0053,0.0053,0.0053,0.0053,0
03 06 2014,0.0053,0.0053,0.0054,0.0053,0
03 07 2014,0.0053,0.0053,0.0054,0.0053,0
03 09 2014,0.0053,0.0053,0.0053,0.0053,0
03 10 2014,0.0054,0.0053,0.0054,0.0053,1.89
03 11 2014,0.0053,0.0054,0.0054,0.0053,-1.85
03 12 2014,0.0054,0.0053,0.0054,0.0053,1.89
03 13 2014,0.0054,0.0054,0.0054,0.0053,0
03 14 2014,0.0054,0.0054,0.0054,0.0053,0
03 16 2014,0.0054,0.0054,0.0054,0.0054,0
03 17 2014,0.0054,0.0054,0.0054,0.0054,0
03 18 2014,0.0054,0.0054,0.0054,0.0054,0
03 19 2014,0.0054,0.0054,0.0054,0.0054,0
03 20 2014,0.0054,0.0054,0.0054,0.0053,0
03 21 2014,0.0053,0.0054,0.0054,0.0053,-1.85
03 23 2014,0.0053,0.0053,0.0053,0.0053,0
03 24 2014,0.0054,0.0053,0.0054,0.0053,1.89
03 25 2014,0.0053,0.0054,0.0054,0.0053,-1.85
03 26 2014,0.0053,0.0053,0.0053,0.0053,0
03 27 2014,0.0053,0.0053,0.0053,0.0053,0
03 28 2014,0.0053,0.0053,0.0053,0.0052,0
03 30 2014,0.0053,0.0053,0.0053,0.0053,0
03 31 2014,0.0053,0.0053,0.0053,0.0053,0
04 01 2014,0.0053,0.0053,0.0053,0.0053,0
04 02 2014,0.0053,0.0053,0.0053,0.0053,0
04 03 2014,0.0053,0.0053,0.0053,0.0053,0
04 04 2014,0.0053,0.0053,0.0053,0.0053,0
04 06 2014,0.0053,0.0053,0.0053,0.0053,0
04 07 2014,0.0053,0.0053,0.0053,0.0053,0
04 08 2014,0.0053,0.0053,0.0053,0.0053,0
04 09 2014,0.0053,0.0053,0.0054,0.0053,0
04 10 2014,0.0053,0.0053,0.0054,0.0053,0
04 11 2014,0.0053,0.0053,0.0053,0.0053,0
04 13 2014,0.0053,0.0053,0.0053,0.0053,0
04 14 2014,0.0053,0.0053,0.0053,0.0052,0
04 15 2014,0.0053,0.0053,0.0053,0.0053,0
04 16 2014,0.0053,0.0053,0.0053,0.0053,0
04 17 2014,0.0053,0.0053,0.0053,0.0053,0
04 18 2014,0.0053,0.0053,0.0053,0.0053,0
04 20 2014,0.0053,0.0053,0.0053,0.0053,0
04 21 2014,0.0053,0.0053,0.0053,0.0053,0
04 22 2014,0.0053,0.0053,0.0053,0.0053,0
04 23 2014,0.0052,0.0053,0.0053,0.0052,-1.89
04 24 2014,0.0053,0.0052,0.0053,0.0052,1.92
04 25 2014,0.0052,0.0053,0.0053,0.0052,-1.89
04 27 2014,0.0052,0.0052,0.0052,0.0052,0
04 28 2014,0.0052,0.0052,0.0053,0.0052,0
04 29 2014,0.0052,0.0052,0.0052,0.0052,0
04 30 2014,0.0052,0.0052,0.0053,0.0052,0
05 01 2014,0.0052,0.0052,0.0052,0.0052,0
05 02 2014,0.0052,0.0052,0.0052,0.0052,0
05 04 2014,0.0052,0.0052,0.0052,0.0052,0
05 05 2014,0.0051,0.0052,0.0052,0.0051,-1.92
05 06 2014,0.0052,0.0051,0.0052,0.0051,1.96
05 07 2014,0.0052,0.0052,0.0052,0.0052,0
05 08 2014,0.0052,0.0052,0.0052,0.0051,0
05 09 2014,0.0051,0.0052,0.0052,0.0051,-1.92
05 11 2014,0.0051,0.0051,0.0051,0.0051,0
05 12 2014,0.0052,0.0051,0.0052,0.0051,1.96
05 13 2014,0.0051,0.0052,0.0052,0.0051,-1.92
05 14 2014,0.0052,0.0051,0.0052,0.0051,1.96
05 15 2014,0.0052,0.0052,0.0052,0.0052,0
05 16 2014,0.0051,0.0052,0.0052,0.0051,-1.92
05 18 2014,0.0051,0.0052,0.0052,0.0051,0
05 19 2014,0.0051,0.0051,0.0051,0.0051,0
05 20 2014,0.0051,0.0051,0.0051,0.0051,0
05 21 2014,0.0051,0.0051,0.0052,0.0051,0
05 22 2014,0.0051,0.0051,0.0051,0.0051,0
05 23 2014,0.0051,0.0051,0.0051,0.005,0
05 25 2014,0.0051,0.0051,0.0051,0.0051,0
05 26 2014,0.0051,0.0051,0.0051,0.0051,0
05 27 2014,0.0051,0.0051,0.0051,0.0051,0
05 28 2014,0.0051,0.0051,0.0051,0.0051,0
05 29 2014,0.0051,0.0051,0.0051,0.005,0
05 30 2014,0.0045,0.0051,0.0051,0.0045,-11.76
06 01 2014,0.0045,0.0045,0.0045,0.0045,0
06 02 2014,0.005,0.0045,0.0051,0.0045,11.11
06 03 2014,0.005,0.005,0.005,0.005,0
06 04 2014,0.005,0.005,0.005,0.005,0
06 05 2014,0.005,0.005,0.005,0.005,0
06 06 2014,0.005,0.005,0.005,0.005,0
06 08 2014,0.005,0.005,0.005,0.005,0
06 09 2014,0.005,0.005,0.005,0.005,0
06 10 2014,0.005,0.005,0.005,0.005,0
06 11 2014,0.005,0.005,0.005,0.005,0
06 12 2014,0.005,0.005,0.005,0.005,0
06 13 2014,0.0051,0.005,0.0051,0.005,2
06 15 2014,0.0051,0.0051,0.0051,0.0051,0
06 16 2014,0.0051,0.0051,0.0051,0.0051,0
