Date,usdPrice,usdOpen,usdHigh,usdLow,Change ,Price,Open,High,Low
01 01 2014,"12,170.00","12,170.00","12,170.00","12,170.00",0,187.2307692,187.2307692,187.2307692,187.2307692
01 02 2014,"12,160.00","12,195.00","12,260.00","12,150.00",-0.08,187.0769231,187.6153846,188.6153846,186.9230769
01 03 2014,"12,170.00","12,160.00","12,245.00","12,160.00",0.08,187.2307692,187.0769231,188.3846154,187.0769231
01 06 2014,"12,180.00","12,195.00","12,245.00","12,180.00",0.08,187.3846154,187.6153846,188.3846154,187.3846154
01 07 2014,"12,237.50","12,197.50","12,277.50","12,197.50",0.47,188.2692308,187.6538462,188.8846154,187.6538462
01 08 2014,"12,235.00","12,220.00","12,250.00","12,210.00",-0.02,188.2307692,188,188.4615385,187.8461538
01 09 2014,"12,190.00","12,230.00","12,260.00","12,190.00",-0.37,187.5384615,188.1538462,188.6153846,187.5384615
01 10 2014,"12,161.50","12,201.50","12,201.50","12,156.50",-0.23,187.1,187.7153846,187.7153846,187.0230769
01 13 2014,"12,050.00","12,130.00","12,130.00","12,005.00",-0.92,185.3846154,186.6153846,186.6153846,184.6923077
01 14 2014,"12,050.00","12,050.00","12,050.00","12,050.00",0,185.3846154,185.3846154,185.3846154,185.3846154
01 15 2014,"12,085.00","12,055.00","12,090.00","12,025.00",0.29,185.9230769,185.4615385,186,185
01 16 2014,"12,117.50","12,102.50","12,120.50","12,092.50",0.27,186.4230769,186.1923077,186.4692308,186.0384615
01 17 2014,"12,090.00","12,125.00","12,126.00","12,085.00",-0.23,186,186.5384615,186.5538462,185.9230769
01 20 2014,"12,110.00","12,095.00","12,120.00","12,095.00",0.17,186.3076923,186.0769231,186.4615385,186.0769231
01 21 2014,"12,132.50","12,117.50","12,142.50","12,117.50",0.19,186.6538462,186.4230769,186.8076923,186.4230769
01 22 2014,"12,140.00","12,145.00","12,160.00","12,130.00",0.06,186.7692308,186.8461538,187.0769231,186.6153846
01 23 2014,"12,165.00","12,155.00","12,175.00","12,155.00",0.21,187.1538462,187,187.3076923,187
01 24 2014,"12,180.00","12,165.00","12,185.00","12,164.00",0.12,187.3846154,187.1538462,187.4615385,187.1384615
01 27 2014,"12,230.00","12,185.00","12,246.00","12,180.00",0.41,188.1538462,187.4615385,188.4,187.3846154
01 28 2014,"12,190.00","12,240.00","12,265.00","12,190.00",-0.33,187.5384615,188.3076923,188.6923077,187.5384615
01 29 2014,"12,165.00","12,185.00","12,195.00","12,120.00",-0.21,187.1538462,187.4615385,187.6153846,186.4615385
01 30 2014,"12,210.00","12,180.00","12,245.00","12,180.00",0.37,187.8461538,187.3846154,188.3846154,187.3846154
01 31 2014,"12,210.00","12,210.00","12,210.00","12,210.00",0,187.8461538,187.8461538,187.8461538,187.8461538
