Date,usdPRICE,usdopen,usdhigh,usdlow,Change ,Price,Open,High,Low
01 01 2014,77.41,77.16,77.95,77.16,0,1.190923077,1.187076923,1.199230769,1.187076923
01 02 2014,77.4,77.16,77.96,77.15,-0.01,1.190769231,1.187076923,1.199384615,1.186923077
01 03 2014,77.37,77.15,77.95,77.12,-0.04,1.190307692,1.186923077,1.199230769,1.186461538
01 06 2014,77.8,77.12,77.95,77.12,0.56,1.196923077,1.186461538,1.199230769,1.186461538
01 07 2014,77.42,77.55,77.95,77.17,-0.49,1.191076923,1.193076923,1.199230769,1.187230769
01 08 2014,77.95,77.17,77.96,77.17,0.68,1.199230769,1.187230769,1.199384615,1.187230769
01 09 2014,77.95,77.7,77.96,77.2,0,1.199230769,1.195384615,1.199384615,1.187692308
01 10 2014,77.95,77.7,77.95,77.57,0,1.199230769,1.195384615,1.199230769,1.193384615
01 13 2014,77.42,77.18,77.95,77.17,-0.68,1.191076923,1.187384615,1.199230769,1.187230769
01 14 2014,77.78,77.17,77.81,77.17,0.46,1.196615385,1.187230769,1.197076923,1.187230769
01 15 2014,77.86,77.53,77.95,77.2,0.1,1.197846154,1.192769231,1.199230769,1.187692308
01 16 2014,77.4,77.61,77.94,77.15,-0.59,1.190769231,1.194,1.199076923,1.186923077
01 17 2014,77.78,77.15,77.81,77.15,0.49,1.196615385,1.186923077,1.197076923,1.186923077
01 20 2014,77.44,77.53,77.95,77.19,-0.44,1.191384615,1.192769231,1.199230769,1.187538462
01 21 2014,77.4,77.19,77.97,77.15,-0.05,1.190769231,1.187538462,1.199538462,1.186923077
01 22 2014,77.43,77.15,77.95,77.15,0.04,1.191230769,1.186923077,1.199230769,1.186923077
01 23 2014,77.77,77.17,77.94,77.17,0.44,1.196461538,1.187230769,1.199076923,1.187230769
01 24 2014,77.73,77.52,77.79,77.48,-0.05,1.195846154,1.192615385,1.196769231,1.192
01 27 2014,77.43,77.48,77.9,77.18,-0.39,1.191230769,1.192,1.198461538,1.187384615
01 28 2014,77.75,77.18,77.94,77.15,0.41,1.196153846,1.187384615,1.199076923,1.186923077
01 29 2014,77.77,77.5,77.94,77.2,0.03,1.196461538,1.192307692,1.199076923,1.187692308
01 30 2014,77.78,77.52,77.95,77.52,0.01,1.196615385,1.192615385,1.199230769,1.192615385
01 31 2014,77.77,77.53,77.82,77.52,-0.01,1.196461538,1.192769231,1.197230769,1.192615385
02 03 2014,77.79,77.56,77.94,77.52,0.03,1.196769231,1.193230769,1.199076923,1.192615385
02 04 2014,77.77,77.54,77.94,77.52,-0.03,1.196461538,1.192923077,1.199076923,1.192615385
02 05 2014,77.75,77.52,77.9,77.5,-0.03,1.196153846,1.192615385,1.198461538,1.192307692
02 06 2014,77.75,77.5,77.94,77.5,0,1.196153846,1.192307692,1.199076923,1.192307692
02 07 2014,77.77,77.5,77.79,77.48,0.03,1.196461538,1.192307692,1.196769231,1.192
02 10 2014,77.77,77.52,77.95,77.52,0,1.196461538,1.192615385,1.199230769,1.192615385
02 11 2014,77.42,77.52,77.95,77.17,-0.45,1.191076923,1.192615385,1.199230769,1.187230769
02 12 2014,77.85,77.17,77.93,77.17,0.56,1.197692308,1.187230769,1.198923077,1.187230769
02 13 2014,77.42,77.6,77.91,77.17,-0.55,1.191076923,1.193846154,1.198615385,1.187230769
02 14 2014,77.75,77.17,77.77,77.17,0.43,1.196153846,1.187230769,1.196461538,1.187230769
02 17 2014,77.75,77.5,77.91,77.5,0,1.196153846,1.192307692,1.198615385,1.192307692
02 18 2014,77.8,77.5,77.95,77.5,0.06,1.196923077,1.192307692,1.199230769,1.192307692
02 19 2014,77.82,77.55,78,77.51,0.03,1.197230769,1.193076923,1.2,1.192461538
02 20 2014,77.73,77.57,77.85,77.48,-0.12,1.195846154,1.193384615,1.197692308,1.192
02 21 2014,77.71,77.48,77.73,77.46,-0.03,1.195538462,1.192,1.195846154,1.191692308
02 24 2014,77.7,77.46,77.71,77.45,-0.01,1.195384615,1.191692308,1.195538462,1.191538462
02 25 2014,77.68,77.45,77.94,77.43,-0.03,1.195076923,1.191538462,1.199076923,1.191230769
02 26 2014,77.67,77.43,77.68,77.42,-0.01,1.194923077,1.191230769,1.195076923,1.191076923
02 27 2014,77.62,77.42,77.94,77.37,-0.06,1.194153846,1.191076923,1.199076923,1.190307692
02 28 2014,77.62,77.37,77.62,77.37,0,1.194153846,1.190307692,1.194153846,1.190307692
03 03 2014,77.58,77.37,77.62,77.33,-0.05,1.193538462,1.190307692,1.194153846,1.189692308
03 04 2014,77.97,77.33,77.98,77.33,0.5,1.199538462,1.189692308,1.199692308,1.189692308
03 05 2014,77.9,77.72,77.98,77.65,-0.09,1.198461538,1.195692308,1.199692308,1.194615385
03 06 2014,77.88,77.65,77.98,77.63,-0.03,1.198153846,1.194615385,1.199692308,1.194307692
03 07 2014,77.87,77.63,77.88,77.62,-0.01,1.198,1.194307692,1.198153846,1.194153846
