Date,usdPrice,usdOpen,usdHigh,usdLow,Change ,Price,Open,High,Low
01 01 2014,78.422,78.047,78.482,77.9,0,1.206492308,1.200723077,1.207415385,1.198461538
01 02 2014,78.504,78.047,78.544,77.687,0.1,1.207753846,1.200723077,1.208369231,1.195184615
01 03 2014,78.2,78.102,78.488,77.925,-0.39,1.203076923,1.201569231,1.207507692,1.198846154
01 06 2014,78.376,77.944,78.589,77.859,0.23,1.205784615,1.199138462,1.209061538,1.197830769
01 07 2014,78.434,78.184,78.559,77.861,0.07,1.206676923,1.202830769,1.2086,1.197861538
01 08 2014,78.567,78.139,78.681,77.92,0.17,1.208723077,1.202138462,1.210476923,1.198769231
01 09 2014,78.584,78.353,78.628,77.897,0.02,1.208984615,1.205430769,1.209661538,1.198415385
01 10 2014,78.35,78.167,78.541,77.901,-0.3,1.205384615,1.202569231,1.208323077,1.198476923
01 13 2014,78.361,78.25,78.541,77.806,0.01,1.205553846,1.203846154,1.208323077,1.197015385
01 14 2014,78.318,78.078,78.409,77.739,-0.05,1.204892308,1.2012,1.206292308,1.195984615
01 15 2014,78.419,77.992,78.587,77.763,0.13,1.206446154,1.199876923,1.209030769,1.196353846
01 16 2014,78.427,78.122,78.55,77.855,0.01,1.206569231,1.201876923,1.208461538,1.197769231
01 17 2014,78.624,78.175,78.646,77.96,0.25,1.2096,1.202692308,1.209938462,1.199384615
01 20 2014,78.365,78.106,78.539,77.875,-0.33,1.205615385,1.201630769,1.208292308,1.198076923
01 21 2014,78.439,77.93,78.58,77.93,0.09,1.206753846,1.198923077,1.208923077,1.198923077
01 22 2014,78.351,78.151,78.52,77.765,-0.11,1.2054,1.202323077,1.208,1.196384615
01 23 2014,77.833,78.027,78.421,77.358,-0.66,1.197430769,1.200415385,1.206476923,1.190123077
01 24 2014,77.946,77.558,78.118,77.342,0.15,1.199169231,1.1932,1.201815385,1.189876923
01 27 2014,77.936,77.648,78.043,77.302,-0.01,1.199015385,1.194584615,1.200661538,1.189261538
01 28 2014,77.92,77.648,78.08,77.398,-0.02,1.198769231,1.194584615,1.201230769,1.190738462
01 29 2014,77.861,77.63,78.133,77.338,-0.08,1.197861538,1.194307692,1.202046154,1.189815385
01 30 2014,77.871,77.57,78.113,77.285,0.01,1.198015385,1.193384615,1.201738462,1.189
01 31 2014,78.364,77.57,78.526,77.425,0.63,1.2056,1.193384615,1.208092308,1.191153846
02 03 2014,78.494,77.901,78.66,77.712,0.17,1.2076,1.198476923,1.210153846,1.195569231
02 04 2014,78.35,78.204,78.638,77.933,-0.18,1.205384615,1.203138462,1.209815385,1.198969231
02 05 2014,78.475,78.16,78.776,77.971,0.16,1.207307692,1.202461538,1.211938462,1.199553846
02 06 2014,78.268,78.115,78.695,77.79,-0.26,1.204123077,1.201769231,1.210692308,1.196769231
02 07 2014,78.269,77.833,78.724,77.812,0,1.204138462,1.197430769,1.211138462,1.197107692
02 10 2014,78.321,78.08,78.465,77.757,0.07,1.204938462,1.201230769,1.207153846,1.196261538
02 11 2014,78.276,78.036,78.374,77.703,-0.06,1.204246154,1.200553846,1.205753846,1.195430769
02 12 2014,78.306,77.986,78.517,77.698,0.04,1.204707692,1.199784615,1.207953846,1.195353846
02 13 2014,77.951,78.016,78.407,77.538,-0.45,1.199246154,1.200246154,1.206261538,1.192892308
02 14 2014,77.773,77.872,78.156,77.339,-0.23,1.196507692,1.198030769,1.2024,1.189830769
02 17 2014,77.898,77.637,78.013,77.353,0.16,1.198430769,1.194415385,1.2002,1.190046154
02 18 2014,77.668,77.515,78.03,77.18,-0.3,1.194892308,1.192538462,1.200461538,1.187384615
02 19 2014,77.788,77.503,77.847,77.143,0.15,1.196738462,1.192353846,1.197646154,1.186815385
02 20 2014,77.835,77.5,77.945,77.164,0.06,1.197461538,1.192307692,1.199153846,1.187138462
02 21 2014,77.652,77.401,77.882,77.232,-0.24,1.194646154,1.190784615,1.198184615,1.188184615
02 24 2014,77.659,77.3,78.032,77.151,0.01,1.194753846,1.189230769,1.200492308,1.186938462
02 25 2014,77.66,77.348,77.848,77.141,0,1.194769231,1.189969231,1.197661538,1.186784615
02 26 2014,77.767,77.337,77.825,77.174,0.14,1.196415385,1.1898,1.197307692,1.187292308
02 27 2014,77.841,77.45,77.997,77.284,0.1,1.197553846,1.191538462,1.199953846,1.188984615
02 28 2014,77.494,77.403,77.64,77.33,-0.45,1.192215385,1.190815385,1.194461538,1.189692308
03 03 2014,77.676,77.363,77.764,77.24,0.23,1.195015385,1.1902,1.196369231,1.188307692
03 04 2014,77.638,77.437,77.806,77.265,-0.05,1.194430769,1.191338462,1.197015385,1.188692308
03 05 2014,77.746,77.45,77.888,77.279,0.14,1.196092308,1.191538462,1.198276923,1.188907692
03 06 2014,77.391,77.346,77.858,77.094,-0.46,1.190630769,1.189938462,1.197815385,1.186061538
03 07 2014,77.293,77.13,77.817,76.888,-0.13,1.189123077,1.186615385,1.197184615,1.182892308
03 10 2014,77.344,77.073,77.478,76.924,0.07,1.189907692,1.185738462,1.191969231,1.183446154
03 11 2014,77.388,77.088,77.515,76.977,0.06,1.190584615,1.185969231,1.192538462,1.184261538
03 12 2014,77.311,77.11,77.511,76.747,-0.1,1.1894,1.186307692,1.192476923,1.180723077
03 13 2014,77.236,77.055,77.353,76.653,-0.1,1.188246154,1.185461538,1.190046154,1.179276923
03 14 2014,77.189,76.98,77.33,76.719,-0.06,1.187523077,1.184307692,1.189692308,1.180292308
03 17 2014,77.175,77.058,77.373,76.791,-0.02,1.187307692,1.185507692,1.190353846,1.1814
03 18 2014,77.246,77.017,77.568,76.723,0.09,1.1884,1.184876923,1.193353846,1.180353846
03 19 2014,77.258,77.18,77.458,76.866,0.02,1.188584615,1.187384615,1.191661538,1.182553846
03 20 2014,78.166,77.167,78.322,76.948,1.18,1.202553846,1.187184615,1.204953846,1.183815385
03 21 2014,78.23,78,78.252,77.674,0.08,1.203538462,1.2,1.203876923,1.194984615
03 24 2014,77.942,77.978,78.409,77.608,-0.37,1.199107692,1.199661538,1.206292308,1.193969231
03 25 2014,78.21,77.88,78.395,77.599,0.34,1.203230769,1.198153846,1.206076923,1.193830769
03 26 2014,78.285,77.992,78.304,77.723,0.1,1.204384615,1.199876923,1.204676923,1.195738462
03 27 2014,78.324,78.014,78.363,77.755,0.05,1.204984615,1.200215385,1.205584615,1.196230769
