Date,usdPrice,usdOpen,usdHigh,usdLow,Change ,Price,Open,High,Low
01 01 2014,"1,163.05","1,162.05","1,163.05","1,162.05",-0.19,17.89,17.87769231,17.89307692,17.87769231
01 02 2014,"1,165.25","1,162.05","1,165.50","1,162.05",0.19,17.93,17.87769231,17.93076923,17.87769231
01 03 2014,"1,165.28","1,163.10","1,165.28","1,163.00",0,17.93,17.89384615,17.92738462,17.89230769
01 04 2014,"1,164.50","1,163.50","1,164.50","1,163.50",-0.07,17.92,17.9,17.91538462,17.9
01 06 2014,"1,164.50","1,163.50","1,165.00","1,163.50",0,17.92,17.9,17.92307692,17.9
01 07 2014,"1,164.40","1,163.50","1,165.00","1,163.40",-0.01,17.91,17.9,17.92307692,17.89846154
01 08 2014,"1,164.00","1,163.40","1,164.80","1,163.00",-0.03,17.91,17.89846154,17.92,17.89230769
01 09 2014,"1,163.40","1,163.00","1,164.80","1,162.40",-0.05,17.90,17.89230769,17.92,17.88307692
01 10 2014,"1,165.28","1,162.40","1,165.47","1,162.30",0.16,17.93,17.88307692,17.93030769,17.88153846
01 11 2014,"1,163.30","1,162.30","1,163.30","1,162.30",-0.17,17.90,17.88153846,17.89692308,17.88153846
01 13 2014,"1,163.00","1,162.20","1,165.00","1,162.00",-0.03,17.89,17.88,17.92307692,17.87692308
01 14 2014,"1,161.80","1,162.00","1,164.80","1,160.80",-0.1,17.87,17.87692308,17.92,17.85846154
01 15 2014,"1,160.90","1,160.80","1,164.80","1,159.90",-0.08,17.86,17.85846154,17.92,17.84461538
01 16 2014,"1,164.50","1,159.90","1,165.00","1,159.90",0.31,17.92,17.84461538,17.92307692,17.84461538
01 17 2014,"1,163.80","1,163.50","1,164.80","1,162.80",-0.06,17.90,17.9,17.92,17.88923077
01 18 2014,"1,163.80","1,162.80","1,163.80","1,162.80",0,17.90,17.88923077,17.90461538,17.88923077
01 20 2014,"1,163.50","1,162.80","1,165.00","1,162.50",-0.03,17.90,17.88923077,17.92307692,17.88461538
01 21 2014,"1,164.50","1,162.50","1,164.80","1,162.50",0.09,17.92,17.88461538,17.92,17.88461538
01 22 2014,"1,164.40","1,163.50","1,164.80","1,163.40",-0.01,17.91,17.9,17.92,17.89846154
01 23 2014,"1,163.90","1,163.20","1,164.80","1,162.90",-0.04,17.91,17.89538462,17.92,17.89076923
01 24 2014,"1,163.50","1,162.90","1,164.80","1,162.50",-0.03,17.90,17.89076923,17.92,17.88461538
01 25 2014,"1,163.50","1,162.50","1,163.50","1,162.50",0,17.90,17.88461538,17.9,17.88461538
01 27 2014,"1,164.00","1,162.50","1,165.00","1,162.50",0.04,17.91,17.88461538,17.92307692,17.88461538
01 28 2014,"1,163.00","1,163.00","1,164.80","1,162.00",-0.09,17.89,17.89230769,17.92,17.87692308
01 29 2014,"1,162.00","1,162.00","1,165.00","1,161.00",-0.09,17.88,17.87692308,17.92307692,17.86153846
01 30 2014,"1,161.40","1,161.00","1,164.80","1,160.40",-0.05,17.87,17.86153846,17.92,17.85230769
01 31 2014,"1,165.28","1,160.40","1,165.47","1,160.40",0.33,17.93,17.85230769,17.93030769,17.85230769
02 01 2014,"1,165.28","1,163.80","1,165.28","1,163.80",0,17.93,17.90461538,17.92738462,17.90461538
02 03 2014,"1,163.00","1,162.00","1,165.00","1,162.00",-0.2,17.89,17.87692308,17.92307692,17.87692308
02 04 2014,"1,162.50","1,162.00","1,164.80","1,161.50",-0.04,17.88,17.87692308,17.92,17.86923077
02 05 2014,"1,161.50","1,161.50","1,164.80","1,160.50",-0.09,17.87,17.86923077,17.92,17.85384615
02 06 2014,"1,161.30","1,160.50","1,164.80","1,160.30",-0.02,17.87,17.85384615,17.92,17.85076923
02 07 2014,"1,165.25","1,160.30","1,165.30","1,160.00",0.34,17.93,17.85076923,17.92769231,17.84615385
02 08 2014,"1,161.00","1,160.00","1,161.00","1,160.00",-0.36,17.86,17.84615385,17.86153846,17.84615385
02 10 2014,"1,160.20","1,160.00","1,165.00","1,159.20",-0.07,17.85,17.84615385,17.92307692,17.83384615
