Date,usdPrice,usdOpen,usdHigh,usdLow,Change ,Price,Open,High,Low
01 01 2014,105.25,105.28,105.4,105.18,-0.06,1.619230769,1.619692308,1.621538462,1.618153846
01 02 2014,104.77,105.23,105.44,104.52,-0.46,1.611846154,1.618923077,1.622153846,1.608
01 03 2014,104.86,104.78,104.87,104.05,0.09,1.613230769,1.612,1.613384615,1.600769231
01 06 2014,104.22,104.85,104.94,103.88,-0.61,1.603384615,1.613076923,1.614461538,1.598153846
01 07 2014,104.62,104.2,104.73,104.16,0.38,1.609538462,1.603076923,1.611230769,1.602461538
01 08 2014,104.86,104.58,105.12,104.56,0.23,1.613230769,1.608923077,1.617230769,1.608615385
01 09 2014,104.83,104.83,105.05,104.55,-0.03,1.612769231,1.612769231,1.616153846,1.608461538
01 10 2014,104.15,104.83,105.12,103.82,-0.65,1.602307692,1.612769231,1.617230769,1.597230769
01 13 2014,103,104.09,104.13,102.83,-1.1,1.584615385,1.601384615,1.602,1.582
01 14 2014,104.22,102.97,104.28,102.97,1.18,1.603384615,1.584153846,1.604307692,1.584153846
01 15 2014,104.56,104.2,104.69,104.06,0.33,1.608615385,1.603076923,1.610615385,1.600923077
01 16 2014,104.36,104.54,104.94,104.12,-0.19,1.605538462,1.608307692,1.614461538,1.601846154
01 17 2014,104.31,104.33,104.5,104.17,-0.05,1.604769231,1.605076923,1.607692308,1.602615385
01 20 2014,104.18,104.26,104.34,103.84,-0.12,1.602769231,1.604,1.605230769,1.597538462
01 21 2014,104.32,104.18,104.76,104.01,0.13,1.604923077,1.602769231,1.611692308,1.600153846
01 22 2014,104.52,104.28,104.58,103.95,0.19,1.608,1.604307692,1.608923077,1.599230769
01 23 2014,103.27,104.5,104.84,102.95,-1.2,1.588769231,1.607692308,1.612923077,1.583846154
01 24 2014,102.3,103.24,103.59,101.98,-0.94,1.573846154,1.588307692,1.593692308,1.568923077
01 27 2014,102.55,102.37,102.94,101.77,0.24,1.577692308,1.574923077,1.583692308,1.565692308
01 28 2014,102.97,102.54,103.27,102.46,0.41,1.584153846,1.577538462,1.588769231,1.576307692
01 29 2014,102.3,102.94,103.46,101.83,-0.65,1.573846154,1.583692308,1.591692308,1.566615385
01 30 2014,102.72,102.28,102.92,102.04,0.41,1.580307692,1.573538462,1.583384615,1.569846154
01 31 2014,102.03,102.71,102.94,101.94,-0.67,1.569692308,1.580153846,1.583692308,1.568307692
02 03 2014,100.99,102.02,102.42,100.76,-1.02,1.553692308,1.569538462,1.575692308,1.550153846
02 04 2014,101.65,100.98,101.68,100.74,0.65,1.563846154,1.553538462,1.564307692,1.549846154
02 05 2014,101.44,101.64,101.77,100.77,-0.21,1.560615385,1.563692308,1.565692308,1.550307692
02 06 2014,102.11,101.43,102.19,101.21,0.66,1.570923077,1.560461538,1.572153846,1.557076923
