Date,Price,Open,High,Low,Change 
01 01 2014,0.5883,0.5869,0.5888,0.5866,0.24
01 02 2014,0.5944,0.5881,0.5961,0.5864,1.04
01 03 2014,0.5931,0.5939,0.6004,0.5928,-0.22
01 06 2014,0.5979,0.5927,0.5997,0.5924,0.81
01 07 2014,0.5956,0.5978,0.599,0.5947,-0.38
01 08 2014,0.5929,0.5955,0.5959,0.5907,-0.45
01 09 2014,0.5923,0.5926,0.5937,0.59,-0.1
01 10 2014,0.5944,0.592,0.5963,0.5886,0.35
01 13 2014,0.5974,0.5946,0.5996,0.5935,0.5
01 14 2014,0.59,0.5972,0.5974,0.5894,-1.24
01 15 2014,0.589,0.5898,0.5913,0.5877,-0.17
01 16 2014,0.5897,0.5887,0.591,0.5868,0.12
01 17 2014,0.59,0.5896,0.5907,0.5872,0.05
01 20 2014,0.5915,0.5902,0.5935,0.5898,0.25
01 21 2014,0.5933,0.5914,0.5949,0.5869,0.3
01 22 2014,0.5915,0.5932,0.5963,0.591,-0.3
01 23 2014,0.5997,0.5913,0.6015,0.5894,1.39
01 24 2014,0.6128,0.5995,0.6146,0.5976,2.18
01 27 2014,0.6153,0.6122,0.6176,0.6098,0.41
01 28 2014,0.6078,0.6152,0.616,0.6057,-1.22
01 29 2014,0.6107,0.6074,0.6135,0.6007,0.48
01 30 2014,0.6091,0.6104,0.6156,0.6079,-0.26
01 31 2014,0.6144,0.6089,0.6149,0.6067,0.87
02 03 2014,0.6195,0.6143,0.621,0.611,0.83
02 04 2014,0.6151,0.6193,0.6224,0.6148,-0.71
02 05 2014,0.6172,0.6149,0.6206,0.6142,0.34
02 06 2014,0.611,0.6168,0.6179,0.6103,-1
02 07 2014,0.6088,0.6107,0.614,0.607,-0.36
02 10 2014,0.6108,0.6087,0.6124,0.6063,0.33
02 11 2014,0.6063,0.6105,0.6117,0.6057,-0.74
02 12 2014,0.6056,0.6061,0.6075,0.6047,-0.12
02 13 2014,0.611,0.6055,0.614,0.6052,0.89
02 14 2014,0.6076,0.6106,0.6133,0.6068,-0.56
02 17 2014,0.6068,0.6075,0.6112,0.6063,-0.13
02 18 2014,0.6074,0.6066,0.609,0.6042,0.1
02 19 2014,0.6083,0.6073,0.611,0.6068,0.15
02 20 2014,0.6086,0.6081,0.6129,0.6073,0.05
02 21 2014,0.6061,0.6083,0.6086,0.604,-0.41
02 24 2014,0.6055,0.6059,0.6084,0.6048,-0.1
02 25 2014,0.6063,0.6054,0.6073,0.6039,0.13
02 26 2014,0.6055,0.6061,0.6072,0.6039,-0.13
02 27 2014,0.6071,0.6053,0.6094,0.6049,0.26
02 28 2014,0.607,0.607,0.6118,0.6036,-0.02
03 03 2014,0.6116,0.6084,0.6135,0.6076,0.76
03 04 2014,0.6057,0.6115,0.612,0.6049,-0.96
03 05 2014,0.6037,0.6054,0.6061,0.6019,-0.33
03 06 2014,0.5929,0.6034,0.6038,0.5922,-1.79
03 07 2014,0.5915,0.5928,0.5944,0.5886,-0.24
03 10 2014,0.5892,0.5931,0.5953,0.5881,-0.39
03 11 2014,0.5915,0.589,0.5926,0.5865,0.39
03 12 2014,0.5958,0.5914,0.597,0.5908,0.73
03 13 2014,0.6007,0.5956,0.6025,0.5925,0.82
03 14 2014,0.6038,0.6005,0.6062,0.6002,0.52
03 17 2014,0.6003,0.6039,0.6047,0.5994,-0.58
03 18 2014,0.6024,0.6001,0.604,0.5978,0.35
03 19 2014,0.5958,0.6021,0.6037,0.5935,-1.1
03 20 2014,0.599,0.5957,0.5997,0.5945,0.54
03 21 2014,0.5956,0.5988,0.5997,0.5945,-0.57
03 24 2014,0.5944,0.5956,0.5965,0.5907,-0.2
03 25 2014,0.5915,0.5943,0.5951,0.5899,-0.49
03 26 2014,0.5894,0.5914,0.5915,0.5866,-0.36
03 27 2014,0.5896,0.5893,0.5915,0.5877,0.03
03 28 2014,0.5824,0.5894,0.5906,0.5816,-1.22
03 31 2014,0.5815,0.5823,0.5833,0.5794,-0.15
04 01 2014,0.579,0.5812,0.5822,0.5784,-0.43
04 02 2014,0.5767,0.5788,0.5793,0.5735,-0.4
04 03 2014,0.579,0.5766,0.5801,0.575,0.4
04 04 2014,0.5817,0.5788,0.5822,0.5769,0.47
04 07 2014,0.5831,0.5816,0.5842,0.5785,0.24
04 08 2014,0.5901,0.5829,0.5919,0.5827,1.2
04 09 2014,0.5897,0.5901,0.5913,0.5865,-0.07
04 10 2014,0.5917,0.5896,0.5932,0.5886,0.34
04 11 2014,0.5922,0.5915,0.594,0.5904,0.08
04 14 2014,0.5916,0.5913,0.5935,0.5898,-0.1
04 15 2014,0.591,0.5914,0.5935,0.5904,-0.1
04 16 2014,0.5906,0.5907,0.5917,0.5884,-0.07
04 17 2014,0.5889,0.5904,0.5931,0.5883,-0.29
04 18 2014,0.5887,0.5887,0.5891,0.5876,-0.03
04 21 2014,0.5905,0.5882,0.5909,0.5866,0.31
04 22 2014,0.5922,0.5903,0.5938,0.5896,0.29
04 23 2014,0.5958,0.592,0.5986,0.5915,0.61
04 24 2014,0.5972,0.5957,0.5987,0.5947,0.23
04 25 2014,0.5935,0.597,0.5981,0.5923,-0.62
04 28 2014,0.5917,0.5933,0.5948,0.5905,-0.3
04 29 2014,0.5887,0.5915,0.592,0.5874,-0.51
04 30 2014,0.5901,0.5885,0.5912,0.5871,0.24
05 01 2014,0.5889,0.5901,0.5906,0.5885,-0.2
05 02 2014,0.589,0.5888,0.5895,0.5838,0.02
05 05 2014,0.5897,0.5888,0.591,0.588,0.12
05 06 2014,0.5899,0.5895,0.5913,0.5884,0.03
05 07 2014,0.589,0.5897,0.5924,0.5882,-0.15
05 08 2014,0.5892,0.5887,0.5906,0.5877,0.03
05 09 2014,0.5887,0.589,0.591,0.5881,-0.08
05 12 2014,0.5881,0.5888,0.5899,0.5834,-0.1
05 13 2014,0.5815,0.5878,0.5882,0.5808,-1.12
05 14 2014,0.5838,0.5813,0.5849,0.581,0.4
05 15 2014,0.5854,0.5834,0.5863,0.5794,0.27
05 16 2014,0.5771,0.5853,0.5862,0.5765,-1.42
05 19 2014,0.5751,0.5765,0.5797,0.5747,-0.35
05 20 2014,0.5783,0.5747,0.5808,0.5742,0.56
05 21 2014,0.579,0.578,0.5838,0.5772,0.12
05 22 2014,0.5729,0.579,0.5792,0.5719,-1.05
05 23 2014,0.5739,0.5727,0.5757,0.5718,0.17
05 26 2014,0.5759,0.574,0.5783,0.573,0.35
05 27 2014,0.579,0.5757,0.5801,0.5749,0.54
05 28 2014,0.5788,0.5788,0.581,0.5768,-0.03
05 29 2014,0.5788,0.5786,0.5819,0.5777,0
05 30 2014,0.5815,0.5787,0.5822,0.5785,0.47
06 02 2014,0.5778,0.5811,0.5817,0.577,-0.64
06 03 2014,0.5788,0.5777,0.5808,0.5765,0.17
06 04 2014,0.5769,0.5787,0.5792,0.5765,-0.33
06 05 2014,0.5788,0.5766,0.5794,0.5763,0.33
06 06 2014,0.5774,0.5783,0.5795,0.5765,-0.24
06 09 2014,0.5774,0.577,0.5783,0.575,0
06 10 2014,0.5785,0.5773,0.5801,0.5766,0.19
06 11 2014,0.5813,0.5784,0.5823,0.578,0.48
06 12 2014,0.5829,0.581,0.5836,0.5787,0.28
06 13 2014,0.585,0.5826,0.5864,0.5819,0.36
06 16 2014,0.591,0.5845,0.5917,0.5845,1.03
06 17 2014,0.5906,0.5908,0.5937,0.5881,-0.07
06 18 2014,0.5916,0.5905,0.5925,0.587,0.17
06 19 2014,0.5895,0.5914,0.5918,0.5871,-0.35
06 20 2014,0.5896,0.5893,0.5926,0.5887,0.02
06 23 2014,0.5901,0.5891,0.5922,0.5884,0.08
06 24 2014,0.5899,0.5899,0.5906,0.5885,-0.03
06 25 2014,0.5898,0.5897,0.5927,0.5894,-0.02
06 26 2014,0.5919,0.5896,0.5935,0.5895,0.36
06 27 2014,0.5923,0.5916,0.5937,0.5914,0.07
06 30 2014,0.5928,0.5918,0.5947,0.5913,0.08
07 01 2014,0.5916,0.5924,0.5936,0.591,-0.2
07 02 2014,0.5865,0.5914,0.5917,0.5859,-0.86
07 03 2014,0.5846,0.5864,0.5873,0.584,-0.32
07 04 2014,0.5849,0.5845,0.5863,0.5839,0.05
07 07 2014,0.5887,0.5853,0.5899,0.5842,0.65
07 08 2014,0.5883,0.5883,0.5895,0.5857,-0.07
07 09 2014,0.5881,0.5881,0.5899,0.5864,-0.03
07 10 2014,0.594,0.5877,0.5956,0.5866,1
07 11 2014,0.5928,0.5938,0.5953,0.5912,-0.2
07 14 2014,0.5921,0.5924,0.5934,0.5908,-0.12
07 15 2014,0.5913,0.5919,0.5929,0.59,-0.14
07 16 2014,0.5913,0.5911,0.5924,0.5905,0
07 17 2014,0.5949,0.5913,0.5952,0.5901,0.61
07 18 2014,0.5949,0.5947,0.5966,0.5933,0
07 21 2014,0.5941,0.5945,0.5958,0.5939,-0.13
07 22 2014,0.5924,0.5941,0.5942,0.5914,-0.29
07 23 2014,0.5915,0.5921,0.594,0.5908,-0.15
07 24 2014,0.5906,0.5911,0.5924,0.5897,-0.15
07 25 2014,0.5897,0.5903,0.5915,0.5889,-0.15
07 28 2014,0.5899,0.5899,0.591,0.5894,0.03
07 29 2014,0.5888,0.5898,0.5903,0.5883,-0.19
07 30 2014,0.5844,0.5885,0.5899,0.5825,-0.75
07 31 2014,0.5891,0.5842,0.5895,0.5836,0.8
08 01 2014,0.5965,0.589,0.5983,0.5881,1.26
08 04 2014,0.594,0.5966,0.5972,0.5929,-0.42
08 05 2014,0.5931,0.5941,0.5948,0.591,-0.15
08 06 2014,0.6023,0.5929,0.6043,0.5926,1.55
08 07 2014,0.5999,0.6022,0.6028,0.5978,-0.4
