Date,Price,Open,High,Low,Change 
01 01 2014,5.868,5.8554,5.8751,5.8541,0.22
01 02 2014,5.9272,5.868,5.9419,5.852,1.01
01 03 2014,5.893,5.9272,5.9378,5.8865,-0.58
01 05 2014,5.9002,5.8922,5.901,5.8922,0.12
01 06 2014,5.848,5.9002,5.9131,5.8367,-0.88
01 07 2014,5.8252,5.848,5.8597,5.8054,-0.39
01 08 2014,5.833,5.8252,5.855,5.8158,0.13
01 09 2014,5.8417,5.833,5.8572,5.8072,0.15
01 10 2014,5.7901,5.8417,5.8498,5.787,-0.88
01 12 2014,5.7885,5.8321,5.8321,5.7863,-0.03
01 13 2014,5.8178,5.7885,5.8316,5.784,0.51
01 14 2014,5.8043,5.8178,5.8178,5.7949,-0.23
01 15 2014,5.7821,5.8043,5.8043,5.7756,-0.38
01 16 2014,5.7859,5.7821,5.8041,5.7735,0.07
01 17 2014,5.7968,5.7866,5.8121,5.7823,0.19
01 19 2014,5.7909,5.8096,5.8096,5.7909,-0.1
01 20 2014,5.7939,5.7909,5.8032,5.7797,0.05
01 21 2014,5.8098,5.7939,5.8289,5.7679,0.27
01 22 2014,5.7908,5.8098,5.8225,5.783,-0.33
01 23 2014,5.7675,5.7908,5.7961,5.7577,-0.4
01 24 2014,5.8036,5.7675,5.8131,5.7462,0.63
01 26 2014,5.8125,5.8036,5.8125,5.8036,0.15
01 27 2014,5.8234,5.8125,5.8582,5.7819,0.19
01 28 2014,5.7958,5.8234,5.8843,5.7805,-0.47
01 29 2014,5.8374,5.7958,5.8873,5.7862,0.72
01 30 2014,5.7907,5.8374,5.8819,5.7669,-0.8
01 31 2014,5.7982,5.7907,5.809,5.7682,0.13
02 02 2014,5.7797,5.8206,5.8206,5.779,-0.32
02 03 2014,5.7675,5.7797,5.8052,5.753,-0.21
02 04 2014,5.7687,5.7665,5.7914,5.7428,0.02
02 05 2014,5.8073,5.7474,5.81,5.7474,0.67
02 06 2014,5.7825,5.7974,5.8302,5.7566,-0.43
02 07 2014,5.7947,5.8071,5.8106,5.7745,0.21
02 09 2014,5.7702,5.7949,5.7949,5.7672,-0.42
02 10 2014,5.821,5.7702,5.8271,5.7622,0.88
02 11 2014,5.8106,5.821,5.8316,5.7912,-0.18
02 12 2014,5.8449,5.8106,5.8555,5.8106,0.59
02 13 2014,5.8542,5.8449,5.8564,5.8137,0.16
02 14 2014,5.8153,5.8542,5.8857,5.814,-0.66
02 16 2014,5.816,5.8149,5.8205,5.8149,0.01
02 17 2014,5.8315,5.816,5.8647,5.8159,0.27
02 18 2014,5.8355,5.8317,5.8508,5.8038,0.07
02 19 2014,5.8368,5.8355,5.8556,5.8174,0.02
02 20 2014,5.8053,5.8368,5.8476,5.7932,-0.54
02 21 2014,5.7912,5.8053,5.8102,5.7737,-0.24
02 23 2014,5.7786,5.7915,5.7915,5.7778,-0.22
02 24 2014,5.7774,5.7786,5.7921,5.7588,-0.02
02 25 2014,5.77,5.7774,5.809,5.7582,-0.13
02 26 2014,5.8139,5.77,5.8373,5.7633,0.76
02 27 2014,5.795,5.8139,5.8309,5.7861,-0.33
02 28 2014,5.7935,5.795,5.8303,5.7852,-0.03
03 02 2014,5.7893,5.7942,5.7942,5.7792,-0.07
03 03 2014,5.798,5.7893,5.8116,5.7729,0.15
03 04 2014,5.7788,5.798,5.7998,5.7596,-0.33
03 05 2014,5.7645,5.7788,5.798,5.7242,-0.25
03 06 2014,5.7404,5.7645,5.7923,5.7166,-0.42
03 07 2014,5.7357,5.7404,5.769,5.7264,-0.08
03 09 2014,5.7496,5.7351,5.7496,5.7351,0.24
03 10 2014,5.7145,5.7496,5.8027,5.699,-0.61
03 11 2014,5.7207,5.7145,5.7334,5.6937,0.11
03 12 2014,5.7174,5.7207,5.7303,5.6923,-0.06
03 13 2014,5.7226,5.7174,5.7531,5.6972,0.09
03 14 2014,5.7283,5.7226,5.75,5.702,0.1
03 16 2014,5.713,5.7135,5.7137,5.7126,-0.27
03 17 2014,5.72,5.713,5.7294,5.6982,0.12
03 18 2014,5.7143,5.72,5.7316,5.6975,-0.1
03 19 2014,5.695,5.7143,5.7368,5.689,-0.34
03 20 2014,5.6953,5.695,5.7234,5.6646,0.01
03 21 2014,5.6383,5.6953,5.6953,5.6328,-1
03 23 2014,5.6498,5.6391,5.6538,5.6391,0.2
03 24 2014,5.6391,5.6498,5.6662,5.6212,-0.19
03 25 2014,5.603,5.6391,5.6475,5.5779,-0.64
03 26 2014,5.5928,5.603,5.6303,5.5736,-0.18
03 27 2014,5.6198,5.5928,5.6323,5.5895,0.48
03 28 2014,5.5961,5.6202,5.6403,5.5841,-0.42
03 30 2014,5.5915,5.5972,5.598,5.5915,-0.08
03 31 2014,5.6357,5.5915,5.6477,5.5915,0.79
04 01 2014,5.6476,5.6357,5.6745,5.6357,0.21
04 02 2014,5.6644,5.6476,5.6806,5.643,0.3
04 03 2014,5.6875,5.6644,5.7101,5.6445,0.41
04 04 2014,5.6995,5.6875,5.7283,5.6688,0.21
04 06 2014,5.6781,5.7006,5.7006,5.6761,-0.38
04 07 2014,5.7127,5.6781,5.7157,5.6696,0.61
04 08 2014,5.7096,5.7127,5.7233,5.6977,-0.05
04 09 2014,5.7748,5.7096,5.7802,5.7096,1.14
04 10 2014,5.7745,5.7748,5.8305,5.7722,-0.01
04 11 2014,5.8113,5.7794,5.8326,5.761,0.64
04 13 2014,5.8118,5.8111,5.8158,5.7946,0.01
04 14 2014,5.7967,5.8118,5.8304,5.7864,-0.26
04 15 2014,5.7838,5.7967,5.8049,5.7773,-0.22
04 16 2014,5.8148,5.7838,5.8197,5.7656,0.54
04 17 2014,5.8068,5.8148,5.837,5.801,-0.14
04 18 2014,5.8086,5.8068,5.8125,5.8018,0.03
04 20 2014,5.8095,5.8056,5.8103,5.8056,0.02
04 21 2014,5.8151,5.8095,5.8358,5.7941,0.1
04 22 2014,5.8544,5.8151,5.8688,5.8058,0.68
04 23 2014,5.8759,5.8544,5.8862,5.8412,0.37
04 24 2014,5.8769,5.8759,5.8881,5.8677,0.02
04 25 2014,5.8244,5.8769,5.8913,5.8137,-0.89
04 27 2014,5.8271,5.8246,5.8293,5.8246,0.05
04 28 2014,5.8586,5.8271,5.8655,5.8045,0.54
04 29 2014,5.8651,5.8586,5.8817,5.841,0.11
04 30 2014,5.8273,5.8651,5.8651,5.8228,-0.64
05 01 2014,5.8319,5.8273,5.8459,5.8155,0.08
05 02 2014,5.8429,5.8319,5.8543,5.8177,0.19
05 04 2014,5.8274,5.8438,5.844,5.8274,-0.27
05 05 2014,5.8476,5.8274,5.8497,5.824,0.35
05 06 2014,5.8231,5.8476,5.8491,5.8132,-0.42
05 07 2014,5.8701,5.8231,5.8813,5.8231,0.81
05 08 2014,5.857,5.8701,5.8739,5.8457,-0.22
05 09 2014,5.8551,5.857,5.883,5.8385,-0.03
05 11 2014,5.8435,5.8548,5.8548,5.8415,-0.2
05 12 2014,5.8614,5.8435,5.8659,5.7914,0.31
05 13 2014,5.8161,5.8614,5.8696,5.8095,-0.77
05 14 2014,5.7875,5.8161,5.8228,5.7771,-0.49
05 15 2014,5.8016,5.7875,5.8059,5.77,0.24
05 16 2014,5.7213,5.8016,5.8016,5.7168,-1.38
05 18 2014,5.7306,5.7309,5.7313,5.7289,0.16
05 19 2014,5.7107,5.7306,5.7348,5.7072,-0.35
05 20 2014,5.7146,5.7107,5.7359,5.6992,0.07
05 21 2014,5.7134,5.7146,5.7314,5.7051,-0.02
05 22 2014,5.6868,5.7134,5.7306,5.6837,-0.47
05 23 2014,5.7096,5.6868,5.7197,5.6817,0.4
05 25 2014,5.699,5.7092,5.7092,5.6955,-0.19
05 26 2014,5.7321,5.699,5.7522,5.6918,0.58
05 27 2014,5.7659,5.7321,5.7759,5.7285,0.59
05 28 2014,5.7687,5.7659,5.7894,5.7545,0.05
05 29 2014,5.7721,5.7687,5.7855,5.7556,0.06
05 30 2014,5.8,5.7721,5.8164,5.7711,0.48
06 01 2014,5.7952,5.7996,5.7996,5.7952,-0.08
06 02 2014,5.7759,5.7952,5.8102,5.7651,-0.33
06 03 2014,5.798,5.7759,5.8091,5.7595,0.38
06 04 2014,5.7923,5.798,5.8083,5.7815,-0.1
06 05 2014,5.7983,5.7923,5.8193,5.775,0.1
06 06 2014,5.8011,5.7983,5.8068,5.7743,0.05
06 08 2014,5.8038,5.8011,5.8038,5.8011,0.05
06 09 2014,5.8241,5.8038,5.8287,5.7791,0.35
06 10 2014,5.8216,5.8241,5.8384,5.8156,-0.04
06 11 2014,5.8424,5.8213,5.8446,5.8207,0.36
06 12 2014,5.8276,5.8428,5.8428,5.8086,-0.25
06 13 2014,5.8658,5.8276,5.878,5.8199,0.66
06 15 2014,5.8616,5.865,5.865,5.8616,-0.07
06 16 2014,5.9071,5.8616,5.9088,5.8499,0.78
06 17 2014,5.904,5.9071,5.9201,5.8725,-0.05
06 18 2014,5.8975,5.904,5.9187,5.8708,-0.11
06 19 2014,5.8983,5.8941,5.9092,5.8772,0.01
06 20 2014,5.8932,5.8983,5.9241,5.8882,-0.09
06 22 2014,5.8932,5.8939,5.8939,5.8932,0
06 23 2014,5.9029,5.8932,5.9168,5.8853,0.16
06 24 2014,5.9039,5.9029,5.9134,5.8979,0.02
06 25 2014,5.891,5.9039,5.9182,5.8837,-0.22
06 26 2014,5.9221,5.891,5.9341,5.891,0.53
06 27 2014,5.9219,5.9221,5.9383,5.9161,0
06 29 2014,5.9215,5.9215,5.9215,5.9215,-0.01
06 30 2014,5.9341,5.9215,5.9534,5.91,0.21
07 01 2014,5.9382,5.9341,5.9493,5.9261,0.07
07 02 2014,5.9105,5.9382,5.9512,5.8945,-0.47
07 03 2014,5.9188,5.9105,5.9308,5.8936,0.14
07 04 2014,5.9168,5.9188,5.9282,5.9098,-0.03
07 06 2014,5.9172,5.9172,5.9172,5.9172,0.01
07 07 2014,5.9265,5.9172,5.9383,5.9132,0.16
07 08 2014,5.9056,5.9265,5.9309,5.8953,-0.35
07 09 2014,5.9051,5.9056,5.9217,5.8951,-0.01
07 10 2014,5.9404,5.9051,5.9419,5.8888,0.6
07 11 2014,5.8969,5.9404,5.9404,5.8792,-0.73
07 13 2014,5.8956,5.8972,5.8972,5.8956,-0.02
07 14 2014,5.8986,5.8956,5.9093,5.8825,0.05
07 15 2014,5.8544,5.899,5.9004,5.8431,-0.75
07 16 2014,5.825,5.8544,5.8544,5.8045,-0.5
07 17 2014,5.848,5.825,5.8977,5.8191,0.39
07 18 2014,5.8556,5.848,5.8754,5.8158,0.13
