Date,Price,Open,High,Low,Change
01 01 2014,18.8835,18.847,18.9095,18.841,0.16
01 02 2014,18.9475,18.872,18.9915,18.818,0.34
01 03 2014,18.923,18.904,19.023,18.873,-0.13
01 06 2014,18.967,18.911,19.009,18.862,0.23
01 07 2014,18.9695,18.968,19.0325,18.919,0.01
01 08 2014,18.996,18.962,19.007,18.91,0.14
01 09 2014,18.9515,18.983,18.9945,18.905,-0.23
01 10 2014,18.935,18.941,19.009,18.902,-0.09
01 13 2014,18.864,18.939,19.045,18.815,-0.37
01 14 2014,18.8535,18.842,18.8535,18.842,-0.06
01 15 2014,18.7315,18.795,18.8065,18.666,-0.65
01 16 2014,18.6655,18.725,18.7325,18.649,-0.35
01 17 2014,18.667,18.642,18.67,18.592,0.01
01 20 2014,18.581,18.626,18.636,18.537,-0.46
01 21 2014,18.618,18.569,18.636,18.517,0.2
01 22 2014,18.601,18.611,18.65,18.552,-0.09
01 23 2014,18.5955,18.588,18.6225,18.532,-0.03
01 24 2014,18.805,18.575,18.82,18.563,1.13
01 27 2014,18.8625,18.786,18.9285,18.718,0.31
01 28 2014,18.76,18.875,18.932,18.729,-0.54
01 29 2014,18.716,18.787,18.862,18.651,-0.23
01 30 2014,18.696,18.684,18.797,18.653,-0.11
01 31 2014,18.7315,18.638,18.7525,18.623,0.19
02 03 2014,18.696,18.728,18.763,18.683,-0.19
02 04 2014,18.803,18.683,18.836,18.683,0.57
02 05 2014,18.8895,18.816,18.8955,18.732,0.46
02 06 2014,18.7725,18.881,18.9325,18.755,-0.62
02 07 2014,18.707,18.78,18.816,18.681,-0.35
02 10 2014,18.719,18.686,18.771,18.63,0.06
02 11 2014,18.6945,18.678,18.7305,18.642,-0.13
02 12 2014,18.6865,18.696,18.7595,18.657,-0.04
02 13 2014,18.7715,18.685,18.7835,18.651,0.45
02 14 2014,18.699,18.767,18.837,18.686,-0.39
02 17 2014,18.772,18.708,18.847,18.708,0.39
02 18 2014,18.8165,18.779,18.8565,18.731,0.24
02 19 2014,18.892,18.822,18.892,18.794,0.4
02 20 2014,18.8205,18.869,18.9015,18.804,-0.38
02 21 2014,18.8615,18.838,18.8895,18.795,0.22
02 24 2014,18.908,18.833,18.912,18.81,0.25
02 25 2014,18.8805,18.886,18.9745,18.824,-0.15
02 26 2014,18.9585,18.876,18.9805,18.853,0.41
