Date,Price,Open,High,Low,Change 
01 01 2014,16.51,16.48,16.53,16.48,0.18
01 02 2014,16.6,16.5,16.64,16.46,0.55
01 03 2014,16.58,16.6,16.68,16.57,-0.12
01 06 2014,16.62,16.58,16.66,16.58,0.24
01 07 2014,16.61,16.61,16.66,16.61,-0.06
01 08 2014,16.58,16.61,16.62,16.55,-0.18
01 09 2014,16.56,16.57,16.6,16.52,-0.12
01 10 2014,16.51,16.55,16.56,16.48,-0.3
01 13 2014,16.41,16.5,16.51,16.38,-0.61
01 14 2014,16.4,16.4,16.41,16.39,-0.06
01 15 2014,16.42,16.39,16.46,16.38,0.12
01 16 2014,16.41,16.42,16.45,16.4,-0.06
01 17 2014,16.41,16.41,16.41,16.35,0
01 20 2014,16.43,16.41,16.44,16.4,0.12
01 21 2014,16.5,16.43,16.52,16.38,0.43
01 22 2014,16.48,16.5,16.54,16.45,-0.12
01 23 2014,16.51,16.48,16.54,16.48,0.18
01 24 2014,16.72,16.51,16.73,16.51,1.27
01 27 2014,16.83,16.71,16.88,16.7,0.66
01 28 2014,16.69,16.82,16.85,16.66,-0.83
01 29 2014,16.66,16.68,16.69,16.56,-0.18
01 30 2014,16.68,16.65,16.77,16.65,0.12
01 31 2014,16.71,16.68,16.73,16.62,0.18
02 03 2014,16.68,16.71,16.74,16.68,-0.18
02 04 2014,16.67,16.68,16.75,16.66,-0.06
02 05 2014,16.69,16.67,16.7,16.62,0.12
02 06 2014,16.63,16.69,16.69,16.62,-0.36
02 07 2014,16.61,16.63,16.64,16.6,-0.12
02 10 2014,16.65,16.61,16.67,16.55,0.24
02 11 2014,16.59,16.65,16.65,16.58,-0.36
02 12 2014,16.56,16.59,16.59,16.54,-0.18
02 13 2014,16.65,16.56,16.66,16.53,0.54
02 14 2014,16.49,16.64,16.65,16.49,-0.96
02 17 2014,16.49,16.49,16.55,16.48,0
02 18 2014,16.58,16.49,16.61,16.49,0.55
02 19 2014,16.6,16.58,16.6,16.58,0.12
02 20 2014,16.6,16.59,16.65,16.59,0
02 21 2014,16.57,16.59,16.6,16.54,-0.18
02 24 2014,16.55,16.57,16.57,16.52,-0.12
02 25 2014,16.53,16.55,16.55,16.49,-0.12
02 26 2014,16.53,16.52,16.55,16.5,0
02 27 2014,16.53,16.53,16.53,16.52,0
02 28 2014,16.48,16.53,16.57,16.46,-0.3
03 03 2014,16.54,16.48,16.56,16.47,0.36
03 04 2014,16.51,16.54,16.57,16.48,-0.18
03 05 2014,16.47,16.5,16.51,16.44,-0.24
03 06 2014,16.3,16.46,16.47,16.29,-1.03
03 07 2014,16.29,16.29,16.31,16.25,-0.06
03 10 2014,16.22,16.29,16.36,16.21,-0.43
03 11 2014,16.25,16.22,16.26,16.16,0.18
03 12 2014,16.32,16.25,16.34,16.25,0.43
03 13 2014,16.31,16.32,16.32,16.24,-0.06
03 14 2014,16.32,16.31,16.41,16.28,0.06
03 17 2014,16.29,16.32,16.32,16.28,-0.18
03 18 2014,16.3,16.29,16.32,16.23,0.06
03 19 2014,16.26,16.29,16.31,16.24,-0.25
03 20 2014,16.36,16.25,16.37,16.25,0.62
03 21 2014,16.24,16.35,16.35,16.24,-0.73
03 24 2014,16.21,16.24,16.24,16.17,-0.18
03 25 2014,16.13,16.2,16.21,16.11,-0.49
03 26 2014,16.04,16.13,16.13,16.01,-0.56
03 27 2014,16.06,16.04,16.09,16.03,0.12
03 28 2014,15.97,16.06,16.07,15.91,-0.56
03 31 2014,16,15.97,16,15.97,0.19
