"Date","Price","Open","High","Low","Change %"
"Nov 10, 2017","83.325","83.325","83.325","82.775","0.41"
"Nov 09, 2017","82.985","83.365","83.515","81.355","-0.32"
"Nov 08, 2017","83.250","83.100","83.250","81.190","0.49"
"Nov 07, 2017","82.840","83.330","83.680","81.280","-0.40"
"Nov 06, 2017","83.175","81.145","83.235","81.145","0.00"
"Nov 03, 2017","83.175","83.115","83.175","82.925","0.00"
"Nov 02, 2017","83.175","82.925","83.275","82.845","0.45"
"Nov 01, 2017","82.805","82.915","83.075","82.765","-0.43"
"Oct 31, 2017","83.160","83.080","83.240","82.440","0.00"
"Oct 30, 2017","83.160","83.110","83.190","83.060","0.32"
"Oct 27, 2017","82.895","82.895","82.925","82.225","0.00"
"Oct 26, 2017","82.895","82.825","83.025","82.765","-0.25"
"Oct 25, 2017","83.100","83.200","83.250","82.500","0.25"
"Oct 24, 2017","82.890","82.870","82.970","81.010","-0.25"
"Oct 23, 2017","83.100","82.850","83.100","82.660","0.64"
"Oct 20, 2017","82.575","82.445","82.575","82.285","0.03"
"Oct 19, 2017","82.550","82.460","82.550","82.370","0.14"
"Oct 18, 2017","82.435","80.905","82.525","80.905","1.91"
"Oct 17, 2017","80.890","80.950","82.450","80.890","-0.03"
"Oct 16, 2017","80.915","80.875","81.185","80.875","0.05"
"Oct 13, 2017","80.875","80.895","80.915","80.825","-0.02"
"Oct 12, 2017","80.895","81.555","82.475","80.895","-0.81"
"Oct 11, 2017","81.555","81.395","82.525","80.915","-0.62"
"Oct 10, 2017","82.060","82.040","82.220","80.910","0.02"
"Oct 09, 2017","82.045","81.395","82.075","80.915","0.80"
"Oct 06, 2017","81.395","80.885","81.425","80.885","0.63"
"Oct 05, 2017","80.885","82.145","82.145","80.885","-1.49"
"Oct 04, 2017","82.110","81.500","82.220","80.960","0.75"
"Oct 03, 2017","81.500","81.930","81.950","80.890","-0.56"
"Oct 02, 2017","81.955","82.235","82.265","80.915","-0.39"
"Sep 29, 2017","82.280","82.040","82.360","81.570","0.40"
"Sep 28, 2017","81.955","82.205","82.205","80.915","-0.30"
"Sep 27, 2017","82.205","80.895","82.375","80.895","0.90"
"Sep 26, 2017","81.470","81.980","81.980","80.740","-0.62"
"Sep 25, 2017","81.975","81.995","82.205","80.945","0.01"
"Sep 22, 2017","81.965","81.975","81.975","81.255","-0.01"
"Sep 21, 2017","81.975","81.415","82.025","80.845","1.40"
"Sep 20, 2017","80.845","82.055","82.125","80.845","-1.56"
"Sep 19, 2017","82.125","80.815","82.155","80.815","1.62"
"Sep 18, 2017","80.815","80.755","81.815","80.755","0.07"
"Sep 15, 2017","80.755","80.795","81.975","80.755","-0.05"
"Sep 14, 2017","80.795","82.045","82.045","80.795","-1.52"
"Sep 13, 2017","82.045","82.055","82.225","80.815","0.30"
"Sep 12, 2017","81.800","82.060","82.110","80.800","-0.34"
"Sep 11, 2017","82.075","81.555","82.075","80.815","0.64"
"Sep 08, 2017","81.555","81.595","81.595","81.545","-0.02"
"Sep 07, 2017","81.570","81.340","81.650","80.840","0.25"
"Sep 06, 2017","81.370","81.470","81.650","80.940","0.03"
"Sep 05, 2017","81.345","81.305","81.475","80.815","0.05"
"Sep 04, 2017","81.305","80.795","81.325","80.795","0.63"
"Sep 01, 2017","80.795","80.805","81.005","80.795","-0.53"
