,Point.Forecast,Lo.10,Hi.10,date
1009,17.75294148,17.74580712,17.76007584,09-11-2017
1010,17.74232508,17.73221925,17.75243092,10-11-2017
1011,17.74533619,17.73325883,17.75741355,11-11-2017
1012,17.7504267,17.73667288,17.76418053,12-11-2017
1013,17.74408122,17.72865047,17.75951197,13-11-2017
1014,17.74568209,17.72886881,17.76249537,14-11-2017
1015,17.74888872,17.73081042,17.76696701,15-11-2017
1016,17.74510264,17.72575286,17.76445241,16-11-2017
1017,17.74593702,17.7254562,17.76641784,17-11-2017
1018,17.74794987,17.72640597,17.76949377,18-11-2017
1019,17.74569492,17.72309123,17.76829861,19-11-2017
1020,17.74611837,17.72253369,17.76970306,20-11-2017
1021,17.74737781,17.72285728,17.77189835,21-11-2017
1022,17.74603725,17.72058992,17.77148457,22-11-2017
1023,17.74624419,17.71991894,17.77256945,23-11-2017
1024,17.74702987,17.71985898,17.77420075,24-11-2017
1025,17.7462344,17.71822936,17.77423944,25-11-2017
1026,17.74632984,17.7175234,17.77513629,26-11-2017
1027,17.7468186,17.71723504,17.77640217,27-11-2017
1028,17.7463475,17.71599881,17.77669619,28-11-2017
1029,17.74638729,17.7152969,17.77747768,29-11-2017
1030,17.74669055,17.71487741,17.77850368,30-11-2017
1031,17.74641211,17.7138878,17.77893641,01-12-2017
1032,17.74642537,17.71320759,17.77964314,02-12-2017
1033,17.74661306,17.71271707,17.78050906,03-12-2017
1034,17.74644884,17.71188537,17.7810123,04-12-2017
1035,17.74645036,17.71123341,17.78166731,05-12-2017
1036,17.74656626,17.7107084,17.78242411,06-12-2017
1037,17.74646961,17.70998064,17.78295857,07-12-2017
1038,17.74646662,17.70935799,17.78357525,08-12-2017
1039,17.74653803,17.70882035,17.78425571,09-12-2017
1040,17.74648128,17.70816337,17.78479918,10-12-2017
1041,17.74647713,17.70756866,17.78538561,11-12-2017
1042,17.74652104,17.70703109,17.78601098,12-12-2017
1043,17.74648779,17.70642432,17.78655126,13-12-2017
1044,17.74648389,17.7058552,17.78711257,14-12-2017
1045,17.74651082,17.70532485,17.7876968,15-12-2017
1046,17.7464914,17.70475529,17.78822751,16-12-2017
1047,17.7464882,17.70420923,17.78876717,17-12-2017
1048,17.74650469,17.70368984,17.78931954,18-12-2017
1049,17.74649337,17.70314911,17.78983764,19-12-2017
1050,17.74649094,17.70262371,17.79035817,20-12-2017
1051,17.74650102,17.70211705,17.79088499,21-12-2017
1052,17.74649445,17.70159959,17.7913893,22-12-2017
1053,17.74649268,17.70109271,17.79189264,23-12-2017
1054,17.74649883,17.70059936,17.7923983,24-12-2017
1055,17.74649502,17.70010136,17.79288867,25-12-2017
1056,17.74649377,17.69961116,17.79337639,26-12-2017
1057,17.74649752,17.69913101,17.79386402,27-12-2017
1058,17.74649532,17.69864979,17.79434085,28-12-2017
1059,17.74649446,17.69817466,17.79481426,29-12-2017
1060,17.74649673,17.69770729,17.79528618,30-12-2017
1061,17.74649547,17.69724084,17.7957501,31-12-2017
1062,17.74649489,17.69677944,17.79621034,01-01-2018
1063,17.74649627,17.69632423,17.79666831,02-01-2018
1064,17.74649555,17.69587103,17.79712006,03-01-2018
1065,17.74649516,17.69542217,17.79756814,04-01-2018
1066,17.74649599,17.69497845,17.79801354,05-01-2018
1067,17.74649558,17.69453728,17.79845388,06-01-2018
1068,17.74649533,17.69409997,17.79889068,07-01-2018
1069,17.74649583,17.69366704,17.79932462,08-01-2018
1070,17.7464956,17.6932369,17.79975429,09-01-2018
1071,17.74649543,17.69281027,17.80018059,10-01-2018
1072,17.74649573,17.69238747,17.800604,11-01-2018
1073,17.7464956,17.69196751,17.80102369,12-01-2018
1074,17.74649549,17.69155079,17.80144019,13-01-2018
1075,17.74649568,17.6911375,17.80185386,14-01-2018
1076,17.7464956,17.69072701,17.8022642,15-01-2018
1077,17.74649553,17.69031953,17.80267154,16-01-2018
1078,17.74649564,17.68991516,17.80307613,17-01-2018
1079,17.7464956,17.68951351,17.8034777,18-01-2018
1080,17.74649556,17.68911466,17.80387645,19-01-2018
1081,17.74649562,17.68871868,17.80427257,20-01-2018
1082,17.7464956,17.68832531,17.80466589,21-01-2018
1083,17.74649557,17.68793457,17.80505657,22-01-2018
1084,17.74649561,17.68754649,17.80544473,23-01-2018
1085,17.7464956,17.6871609,17.8058303,24-01-2018
1086,17.74649558,17.68677779,17.80621337,25-01-2018
1087,17.74649561,17.68639717,17.80659404,26-01-2018
1088,17.7464956,17.68601891,17.80697229,27-01-2018
1089,17.74649559,17.685643,17.80734818,28-01-2018
1090,17.7464956,17.68526942,17.80772179,29-01-2018
1091,17.7464956,17.68489808,17.80809311,30-01-2018
1092,17.74649559,17.68452897,17.80846221,31-01-2018
1093,17.7464956,17.68416207,17.80882913,01-02-2018
1094,17.7464956,17.68379729,17.8091939,02-02-2018
1095,17.74649559,17.68343463,17.80955656,03-02-2018
1096,17.7464956,17.68307405,17.80991715,04-02-2018
1097,17.7464956,17.6827155,17.8102757,05-02-2018
1098,17.74649559,17.68235895,17.81063224,06-02-2018
1099,17.7464956,17.68200438,17.81098681,07-02-2018
1100,17.7464956,17.68165175,17.81133944,08-02-2018
1101,17.7464956,17.68130102,17.81169017,09-02-2018
1102,17.7464956,17.68095218,17.81203902,10-02-2018
1103,17.7464956,17.68060517,17.81238602,11-02-2018
1104,17.7464956,17.68025999,17.8127312,12-02-2018
1105,17.7464956,17.67991659,17.8130746,13-02-2018
1106,17.7464956,17.67957496,17.81341623,14-02-2018
1107,17.7464956,17.67923506,17.81375613,15-02-2018
1108,17.7464956,17.67889687,17.81409432,16-02-2018
1109,17.7464956,17.67856037,17.81443082,17-02-2018
1110,17.7464956,17.67822552,17.81476567,18-02-2018
1111,17.7464956,17.67789231,17.81509888,19-02-2018
1112,17.7464956,17.67756071,17.81543048,20-02-2018
1113,17.7464956,17.67723069,17.8157605,21-02-2018
1114,17.7464956,17.67690225,17.81608895,22-02-2018
1115,17.7464956,17.67657534,17.81641585,23-02-2018
1116,17.7464956,17.67624995,17.81674124,24-02-2018
1117,17.7464956,17.67592607,17.81706512,25-02-2018
1118,17.7464956,17.67560367,17.81738753,26-02-2018
1119,17.7464956,17.67528272,17.81770847,27-02-2018
1120,17.7464956,17.67496322,17.81802798,28-02-2018
1121,17.7464956,17.67464513,17.81834606,01-03-2018
1122,17.7464956,17.67432845,17.81866275,02-03-2018
1123,17.7464956,17.67401315,17.81897804,03-03-2018
1124,17.7464956,17.67369922,17.81929198,04-03-2018
1125,17.7464956,17.67338663,17.81960456,05-03-2018
1126,17.7464956,17.67307538,17.81991582,06-03-2018
1127,17.7464956,17.67276544,17.82022576,07-03-2018
1128,17.7464956,17.67245679,17.8205344,08-03-2018
1129,17.7464956,17.67214943,17.82084176,09-03-2018
1130,17.7464956,17.67184333,17.82114786,10-03-2018
1131,17.7464956,17.67153849,17.8214527,11-03-2018
1132,17.7464956,17.67123488,17.82175632,12-03-2018
1133,17.7464956,17.67093249,17.82205871,13-03-2018
1134,17.7464956,17.6706313,17.82235989,14-03-2018
1135,17.7464956,17.6703313,17.82265989,15-03-2018
1136,17.7464956,17.67003249,17.82295871,16-03-2018
1137,17.7464956,17.66973483,17.82325636,17-03-2018
1138,17.7464956,17.66943833,17.82355287,18-03-2018
1139,17.7464956,17.66914296,17.82384824,19-03-2018
1140,17.7464956,17.66884871,17.82414248,20-03-2018
1141,17.7464956,17.66855558,17.82443562,21-03-2018
1142,17.7464956,17.66826354,17.82472765,22-03-2018
1143,17.7464956,17.66797259,17.8250186,23-03-2018
1144,17.7464956,17.66768272,17.82530848,24-03-2018
1145,17.7464956,17.6673939,17.82559729,25-03-2018
1146,17.7464956,17.66710614,17.82588505,26-03-2018
1147,17.7464956,17.66681942,17.82617178,27-03-2018
1148,17.7464956,17.66653372,17.82645747,28-03-2018
1149,17.7464956,17.66624904,17.82674215,29-03-2018
1150,17.7464956,17.66596537,17.82702582,30-03-2018
1151,17.7464956,17.66568269,17.8273085,31-03-2018
