"","Point.Forecast","Lo.10","Hi.10"
"1109",527.814233136649,527.779905459722,527.848560813576
"1110",527.954035476546,527.902000732483,528.006070220609
"1111",528.090581711529,528.023313438001,528.157849985056
"1112",528.225980668163,528.144611278693,528.307350057633
"1113",528.358202825398,528.263115581083,528.453290069713
"1114",528.489337359002,528.38084153496,528.597833183045
"1115",528.617372104452,528.495477283118,528.739266925786
"1116",528.744376787622,528.609167388501,528.879586186743
"1117",528.86835647019,528.719725821879,529.016987118502
"1118",528.991361626445,528.829310363365,529.153412889525
"1119",529.111414414324,528.935795211366,529.287033617281
"1120",529.230546252291,529.041325548542,529.419766956041
"1121",529.346796265,529.143814909706,529.549777620295
"1122",529.462177008363,529.245388348241,529.678965668484
"1123",529.574744444625,529.343990006796,529.805498882454
"1124",529.68649245796,529.441722466365,529.931262449556
"1125",529.795493719533,529.536556112472,530.054431326593
"1126",529.903723630185,529.630570478473,530.176876781896
"1127",530.00927144178,529.721759700205,530.296783183354
"1128",530.114094257876,529.812180352188,530.416008163565
"1129",530.216297783299,529.899848741093,530.532746825505
"1130",530.317821008045,529.986798827922,530.648843188168
"1131",530.416785962657,530.071068001615,530.762503923699
"1132",530.515113705019,530.154668047427,530.87555936261
"1133",530.610942464654,530.235656633325,530.986228295984
"1134",530.706175546544,530.316023829666,531.096327263422
"1135",530.798967252988,530.393846957051,531.204087548924
"1136",530.891203313068,530.47109482519,531.311311800946
"1137",530.981053976195,530.545863896658,531.416244055731
"1138",531.070387570402,530.620102156021,531.520672984783
"1139",531.157390167098,530.691924776492,531.622855557704
"1140",531.243912865993,530.763259330088,531.724566401899
"1141",531.32815743595,530.832239325911,531.824075545988
"1142",531.411957918992,530.900772312564,531.92314352542
"1143",531.493531657472,530.967009802099,532.020053512846
"1144",531.574695804318,531.032839686449,532.116551922187
"1145",531.653683151998,531.096431179502,532.210935124495
"1146",531.732294130916,531.159652862579,532.304935399253
"1147",531.808776860885,531.220691375167,532.396862346603
"1148",531.884915214377,531.281396315227,532.488434113527
"1149",531.958972516392,531.339971491507,532.577973541276
"1150",532.032716244111,531.398247828887,532.667184659336
"1151",532.10442480619,531.45444606528,532.754403547099
"1152",532.175849445244,531.510378747493,532.841320142996
"1153",532.245283532679,531.564283315996,532.926283749362
