"","Point.Forecast","Lo.10","Hi.10"
"1011",349.43873425146,349.393171201792,349.484297301128
"1012",349.439727559018,349.380689107368,349.498766010668
"1013",349.440689109887,349.370698414904,349.510679804871
"1014",349.441477652914,349.360664801478,349.522290504351
"1015",349.442114425832,349.350624562434,349.533604289229
"1016",349.442627827977,349.340705055349,349.544550600605
"1017",349.443041694017,349.330988655074,349.55509473296
"1018",349.443375315919,349.321522262512,349.565228369326
"1019",349.443644251679,349.312329858398,349.57495864496
"1020",349.443861043292,349.303420781539,349.584301305045
"1021",349.44403580102,349.294795028757,349.593276573283
"1022",349.444176674843,349.286446703806,349.60190664588
"1023",349.444290234538,349.278366296527,349.610214172548
"1024",349.444381776059,349.270542203301,349.618221348817
"1025",349.444455568528,349.262961744621,349.625949392435
"1026",349.44451505332,349.2556118438,349.633418262841
"1027",349.444563004563,349.2484794747,349.640646534425
"1028",349.444601658504,349.241551950813,349.647651366194
"1029",349.444632817804,349.234817104998,349.654448530609
"1030",349.444657935604,349.228263393887,349.66105247732
"1031",349.444678183295,349.221879950618,349.667476415973
"1032",349.444694505147,349.215656602472,349.673732407822
"1033",349.444707662343,349.209583865071,349.679831459615
"1034",349.44471826848,349.203652921317,349.685783615644
"1035",349.444726818186,349.197855590842,349.69159804553
"1036",349.444733710183,349.192184293994,349.697283126372
"1037",349.444739265886,349.186632013145,349.702846518626
"1038",349.444743744389,349.181192253247,349.708295235532
"1039",349.444747354552,349.175859002897,349.713635706208
"1040",349.444750264738,349.170626696775,349.718873832701
"1041",349.444752610666,349.165490179949,349.724015041383
"1042",349.44475450174,349.160444674346,349.729064329133
"1043",349.444756026152,349.155485747541,349.734026304764
"1044",349.444757254995,349.150609283863,349.738905226128
"1045",349.444758245577,349.145811457809,349.743705033344
"1046",349.444759044094,349.141088709655,349.748429378533
"1047",349.444759687786,349.136437723147,349.753081652425
"1048",349.444760206672,349.131855405149,349.757665008195
"1049",349.444760624951,349.127338867095,349.762182382807
"1050",349.444760962129,349.122885408115,349.766636516144
"1051",349.444761233932,349.118492499681,349.771029968184
"1052",349.444761453035,349.114157771651,349.775365134419
"1053",349.444761629656,349.109878999592,349.779644259719
"1054",349.444761772031,349.105654093246,349.783869450817
"1055",349.444761886801,349.101481086045,349.788042687558
"1056",349.444761979319,349.097358125581,349.792165833057
"1057",349.444762053898,349.093283464922,349.796240642874
"1058",349.444762114017,349.08925545471,349.800268773324
"1059",349.444762162479,349.085272535954,349.804251789004
"1060",349.444762201545,349.08133323346,349.80819116963
"1061",349.444762233037,349.077436149828,349.812088316246
"1062",349.444762258422,349.073579959965,349.815944556879
"1063",349.444762278886,349.069763406072,349.819761151699
"1064",349.444762295382,349.065985293043,349.82353929772
"1065",349.444762308679,349.062244484251,349.827280133107
"1066",349.444762319398,349.058539897682,349.830984741114
"1067",349.444762328039,349.05487050238,349.834654153699
"1068",349.444762335005,349.051235315173,349.838289354836
"1069",349.44476234062,349.047633397668,349.841891283571
"1070",349.444762345146,349.044063853467,349.845460836825
"1071",349.444762348794,349.040525825608,349.848998871981
"1072",349.444762351736,349.037018494192,349.85250620928
"1073",349.444762354107,349.033541074195,349.855983634019
"1074",349.444762356018,349.030092813433,349.859431898602
"1075",349.444762357558,349.026672990685,349.862851724432
"1076",349.4447623588,349.023280913939,349.866243803662
"1077",349.444762359802,349.019915918772,349.869608800831
"1078",349.444762360609,349.01657736684,349.872947354377
"1079",349.444762361259,349.013264644467,349.876260078051
"1080",349.444762361784,349.009977161338,349.879547562229
"1081",349.444762362206,349.006714349274,349.882810375139
"1082",349.444762362547,349.003475661086,349.886049064008
"1083",349.444762362822,349.000260569513,349.88926415613
"1084",349.444762363043,348.997068566218,349.892456159869
"1085",349.444762363222,348.99389916085,349.895625565593
"1086",349.444762363366,348.990751880171,349.89877284656
"1087",349.444762363482,348.987626267229,349.901898459734
"1088",349.444762363575,348.984521880585,349.905002846566
"1089",349.444762363651,348.981438293586,349.908086433715
"1090",349.444762363711,348.978375093683,349.91114963374
"1091",349.44476236376,348.975331881784,349.914192845737
"1092",349.4447623638,348.972308271649,349.91721645595
