pc_code,pc_description,unit,country_code,country_name,quantity,value,pc_type
99,Other_Commodities,Na,5423,U_S_A,NA,422.466925,OtherCommodities
99,Other_Commodities,Na,7171,Guyana,NA,0.077646,OtherCommodities
99,Other_Commodities,Na,10027,Bangladesh_Pr,NA,304.410854,OtherCommodities
99,Other_Commodities,Na,10077,China_P_Rp,NA,153.022506,OtherCommodities
99,Other_Commodities,Na,10179,Hong_Kong,NA,45.140264,OtherCommodities
99,Other_Commodities,Na,10205,Japan,NA,209.362768,OtherCommodities
99,Other_Commodities,Na,10217,Korea_Rp,NA,60.255949,OtherCommodities
99,Other_Commodities,Na,10245,Malaysia,NA,39.825939,OtherCommodities
99,Other_Commodities,Na,10273,Nepal,NA,160.568547,OtherCommodities
99,Other_Commodities,Na,10359,Singapore,NA,68.953354,OtherCommodities
99,Other_Commodities,Na,10437,Vietnam_Soc_Rep,NA,99.920943,OtherCommodities
99,Other_Commodities,Na,11351,Saudi_Arab,NA,34.2835,OtherCommodities
99,Other_Commodities,Na,11419,U_Arab_Emts,NA,399.152321,OtherCommodities
99,Other_Commodities,Na,13147,Germany,NA,76.143668,OtherCommodities
99,Other_Commodities,Na,13421,U_K,NA,131.974027,OtherCommodities
A1,Tea,Kgs,5423,U_S_A,16793106,67.8078,Agriculture_allied_products
A1,Tea,Kgs,10027,Bangladesh_Pr,4903345,5.965856,Agriculture_allied_products
A1,Tea,Kgs,10077,China_P_Rp,3529774,11.642142,Agriculture_allied_products
A1,Tea,Kgs,10179,Hong_Kong,336235,1.798007,Agriculture_allied_products
A1,Tea,Kgs,10205,Japan,3325154,24.4035,Agriculture_allied_products
A1,Tea,Kgs,10217,Korea_Rp,72531,0.702985,Agriculture_allied_products
A1,Tea,Kgs,10245,Malaysia,2456967,3.963633,Agriculture_allied_products
A1,Tea,Kgs,10273,Nepal,305517,0.966809,Agriculture_allied_products
A1,Tea,Kgs,10359,Singapore,606266,2.531645,Agriculture_allied_products
A1,Tea,Kgs,10437,Vietnam_Soc_Rep,91510,0.581921,Agriculture_allied_products
A1,Tea,Kgs,11351,Saudi_Arab,3355180,13.239334,Agriculture_allied_products
A1,Tea,Kgs,11419,U_Arab_Emts,13206784,44.075769,Agriculture_allied_products
A1,Tea,Kgs,13147,Germany,7945629,35.235075,Agriculture_allied_products
A1,Tea,Kgs,13421,U_K,18299569,57.147176,Agriculture_allied_products
A2,Coffee,Kgs,5423,U_S_A,3828184,25.035494,Agriculture_allied_products
A2,Coffee,Kgs,10027,Bangladesh_Pr,94072,0.617983,Agriculture_allied_products
A2,Coffee,Kgs,10077,China_P_Rp,209652,1.297299,Agriculture_allied_products
A2,Coffee,Kgs,10179,Hong_Kong,8014,0.052534,Agriculture_allied_products
A2,Coffee,Kgs,10205,Japan,814931,5.293014,Agriculture_allied_products
A2,Coffee,Kgs,10217,Korea_Rp,5130423,15.800243,Agriculture_allied_products
A2,Coffee,Kgs,10245,Malaysia,2722171,15.772537,Agriculture_allied_products
A2,Coffee,Kgs,10273,Nepal,276968,2.351331,Agriculture_allied_products
A2,Coffee,Kgs,10359,Singapore,930715,6.181949,Agriculture_allied_products
A2,Coffee,Kgs,10437,Vietnam_Soc_Rep,854139,4.857956,Agriculture_allied_products
A2,Coffee,Kgs,11351,Saudi_Arab,3887167,12.9738,Agriculture_allied_products
