pc_code,pc_description,unit,country_code,quantity,value,pc_type,country_name
99,Other_Commodities,Na,3291,NA,5.529206,OtherCommodities,Nigeria
99,Other_Commodities,Na,5423,NA,494.24548,OtherCommodities,U_S_A
99,Other_Commodities,Na,10077,NA,760.168808,OtherCommodities,China_P_Rp
99,Other_Commodities,Na,10179,NA,82.5975,OtherCommodities,Hong_Kong
99,Other_Commodities,Na,10187,NA,57.645662,OtherCommodities,Indonesia
99,Other_Commodities,Na,10189,NA,16.025546,OtherCommodities,Iran
99,Other_Commodities,Na,10205,NA,58.0533,OtherCommodities,Japan
99,Other_Commodities,Na,10217,NA,104.473869,OtherCommodities,Korea_Rp
99,Other_Commodities,Na,10245,NA,32.117518,OtherCommodities,Malaysia
99,Other_Commodities,Na,10437,NA,46.566642,OtherCommodities,Vietnam_Soc_Rep
99,Other_Commodities,Na,11191,NA,0.000776,OtherCommodities,Iraq
99,Other_Commodities,Na,11301,NA,12.853184,OtherCommodities,Oman
99,Other_Commodities,Na,11351,NA,8.604149,OtherCommodities,Saudi_Arab
99,Other_Commodities,Na,11419,NA,78.132695,OtherCommodities,U_Arab_Emts
99,Other_Commodities,Na,13147,NA,194.08786,OtherCommodities,Germany
99,Other_Commodities,Na,13421,NA,60.966111,OtherCommodities,U_K
99,Other_Commodities,Na,14389,NA,18.484984,OtherCommodities,Switzerland
A1,Tea,Kgs,5423,35514,0.337427,Agriculture_allied_products,U_S_A
A1,Tea,Kgs,10077,705284,2.187063,Agriculture_allied_products,China_P_Rp
A1,Tea,Kgs,10179,15,0.000181,Agriculture_allied_products,Hong_Kong
A1,Tea,Kgs,10187,1725472,2.974414,Agriculture_allied_products,Indonesia
A1,Tea,Kgs,10189,2396520,2.876581,Agriculture_allied_products,Iran
A1,Tea,Kgs,10205,1911,0.047843,Agriculture_allied_products,Japan
A1,Tea,Kgs,10217,255,0.00618,Agriculture_allied_products,Korea_Rp
A1,Tea,Kgs,10245,17462,0.032168,Agriculture_allied_products,Malaysia
A1,Tea,Kgs,10437,966725,1.245632,Agriculture_allied_products,Vietnam_Soc_Rep
A1,Tea,Kgs,11419,69860,0.192785,Agriculture_allied_products,U_Arab_Emts
A1,Tea,Kgs,13147,59188,0.308685,Agriculture_allied_products,Germany
A1,Tea,Kgs,13421,33906,0.363722,Agriculture_allied_products,U_K
A1,Tea,Kgs,14389,100,0.003496,Agriculture_allied_products,Switzerland
A2,Coffee,Kgs,5423,27412,0.508302,Agriculture_allied_products,U_S_A
A2,Coffee,Kgs,10077,1881654,3.499432,Agriculture_allied_products,China_P_Rp
A2,Coffee,Kgs,10187,15264388,30.444204,Agriculture_allied_products,Indonesia
A2,Coffee,Kgs,10189,2001,0.022213,Agriculture_allied_products,Iran
A2,Coffee,Kgs,10217,27695,0.739605,Agriculture_allied_products,Korea_Rp
A2,Coffee,Kgs,10245,44331,0.502956,Agriculture_allied_products,Malaysia
A2,Coffee,Kgs,10437,45759048,94.158959,Agriculture_allied_products,Vietnam_Soc_Rep
A2,Coffee,Kgs,11419,34578,0.193842,Agriculture_allied_products,U_Arab_Emts
A2,Coffee,Kgs,13147,19138,0.126287,Agriculture_allied_products,Germany
A2,Coffee,Kgs,13421,6973,0.053633,Agriculture_allied_products,U_K
A2,Coffee,Kgs,14389,56,0.002022,Agriculture_allied_products,Switzerland
A4,Rice(Other_Than_Basmoti),Ton,5423,422,0.330791,Agriculture_allied_products,U_S_A
A4,Rice(Other_Than_Basmoti),Ton,10205,0,0.010791,Agriculture_allied_products,Japan
