"","pc_code","pc_description","unit","country_code","country_name","quantity","value","pc_type"
"1","99","Other Commodities","Na",599,"Unspecified",NA,6925.755648,"OtherCommodities"
"2","99","Other Commodities","Na",1213,"Kenya",NA,4.977579,"OtherCommodities"
"3","99","Other Commodities","Na",1395,"Tanzania Rep",NA,3.859614,"OtherCommodities"
"4","99","Other Commodities","Na",1417,"Uganda",NA,0.006412,"OtherCommodities"
"5","99","Other Commodities","Na",2035,"Benin",NA,1.030157,"OtherCommodities"
"6","99","Other Commodities","Na",2057,"Cameroon",NA,3.337303,"OtherCommodities"
"7","99","Other Commodities","Na",2067,"C Afri Rep",NA,2e-06,"OtherCommodities"
"8","99","Other Commodities","Na",2069,"Chad",NA,2.059361,"OtherCommodities"
"9","99","Other Commodities","Na",2087,"Congo P Rep",NA,2.304299,"OtherCommodities"
"10","99","Other Commodities","Na",2141,"Gabon",NA,0.27285,"OtherCommodities"
"11","99","Other Commodities","Na",2199,"Cote D' Ivoire",NA,1.904218,"OtherCommodities"
"12","99","Other Commodities","Na",2241,"Madagascar",NA,9.407807,"OtherCommodities"
"13","99","Other Commodities","Na",2255,"Mauritania",NA,1.712627,"OtherCommodities"
"14","99","Other Commodities","Na",2257,"Mauritius",NA,0.191706,"OtherCommodities"
"15","99","Other Commodities","Na",2289,"Niger",NA,2.4e-05,"OtherCommodities"
"16","99","Other Commodities","Na",2353,"Senegal",NA,1.256405,"OtherCommodities"
"17","99","Other Commodities","Na",2399,"Togo",NA,0.636765,"OtherCommodities"
"18","99","Other Commodities","Na",2459,"Congo D. Rep.",NA,6.366233,"OtherCommodities"
"19","99","Other Commodities","Na",3011,"Angola",NA,3.891963,"OtherCommodities"
"20","99","Other Commodities","Na",3041,"Botswana",NA,8e-06,"OtherCommodities"
"21","99","Other Commodities","Na",3053,"Burundi",NA,0.027466,"OtherCommodities"
"22","99","Other Commodities","Na",3063,"Cape Verde Is",NA,0.197719,"OtherCommodities"
