Date,Price,Open,High,Low,Change
01 01 2014,69.41,69.213,69.495,69.182,0.28
01 02 2014,69.254,69.371,69.467,69.007,-0.22
01 03 2014,68.692,69.224,69.549,68.62,-0.81
01 06 2014,68.921,68.647,69.089,68.556,0.33
01 07 2014,68.535,68.904,68.971,68.454,-0.56
01 08 2014,68.242,68.522,68.64,67.985,-0.43
01 09 2014,68.443,68.192,68.519,68.018,0.29
01 10 2014,68.592,68.426,68.767,68.055,0.22
01 13 2014,68.437,68.62,68.717,67.97,-0.23
01 14 2014,68.13,68.409,68.447,68.039,-0.45
01 15 2014,67.793,68.107,68.159,67.545,-0.49
01 16 2014,68.004,67.771,68.139,67.615,0.31
01 17 2014,67.613,67.972,68.056,67.456,-0.57
01 20 2014,67.713,67.53,67.825,67.36,0.15
01 21 2014,67.994,67.692,68.129,67.357,0.41
01 22 2014,67.826,67.963,68.193,67.695,-0.25
01 23 2014,69.01,67.802,69.102,67.653,1.75
01 24 2014,70.082,68.969,70.423,68.847,1.55
01 27 2014,70.403,70.073,70.695,69.95,0.46
01 28 2014,69.741,70.408,70.51,69.378,-0.94
01 29 2014,69.859,69.705,69.929,68.96,0.17
01 30 2014,69.305,69.819,70.265,69.127,-0.79
01 31 2014,69.158,69.288,69.611,69,-0.21
02 03 2014,69.451,69.13,69.49,68.935,0.42
02 04 2014,69.194,69.426,69.615,68.982,-0.37
02 05 2014,69.294,69.165,69.485,68.936,0.14
02 06 2014,69.231,69.26,69.562,68.795,-0.09
02 07 2014,69.382,69.208,69.548,69.017,0.22
02 10 2014,69.623,69.322,69.692,69.047,0.35
02 11 2014,69.266,69.602,69.853,69.203,-0.51
02 12 2014,68.952,69.249,69.297,68.676,-0.45
02 13 2014,69.866,68.935,70.007,68.889,1.33
02 14 2014,69.274,69.852,69.973,69.253,-0.85
02 17 2014,69.368,69.323,69.688,69.257,0.14
02 18 2014,70.011,69.351,70.147,69.234,0.93
02 19 2014,70.039,70.019,70.284,69.931,0.04
02 20 2014,69.96,70.008,70.396,69.766,-0.11
02 21 2014,69.985,69.961,70.088,69.664,0.04
02 24 2014,69.829,69.958,70.075,69.632,-0.22
02 25 2014,69.898,69.812,69.984,69.665,0.1
02 26 2014,69.596,69.888,69.909,69.383,-0.43
02 27 2014,69.787,69.57,69.87,69.469,0.27
02 28 2014,70.225,69.746,70.453,69.707,0.63
03 03 2014,70.255,70.16,70.576,70.112,0.04
03 04 2014,69.76,70.245,70.327,69.682,-0.7
03 05 2014,69.619,69.727,69.808,69.384,-0.2
03 06 2014,69.406,69.593,69.635,68.794,-0.31
03 07 2014,69.569,69.388,69.768,69.25,0.23
03 10 2014,69.32,69.686,69.964,69.168,-0.36
03 11 2014,69.382,69.294,69.532,68.888,0.09
03 12 2014,70.042,69.376,70.098,69.36,0.95
03 13 2014,69.918,70.024,70.272,69.621,-0.18
03 14 2014,70.153,69.941,70.343,69.811,0.34
03 17 2014,69.946,70.127,70.202,69.718,-0.3
03 18 2014,69.994,69.934,70.099,69.653,0.07
03 19 2014,69.246,69.948,70.034,69.03,-1.07
03 20 2014,69.401,69.218,69.654,69.06,0.22
03 21 2014,68.954,69.378,69.477,68.847,-0.64
03 24 2014,69.006,68.933,69.171,68.46,0.08
03 25 2014,68.535,68.984,69.041,68.093,-0.68
03 26 2014,67.957,68.509,68.55,67.723,-0.84
03 27 2014,67.954,67.939,68.233,67.809,0
03 28 2014,67.531,67.922,67.999,67.215,-0.62
03 31 2014,67.837,67.577,67.974,67.409,0.45
04 01 2014,67.94,67.81,68.094,67.712,0.15
04 02 2014,67.563,67.902,67.988,67.379,-0.55
04 03 2014,67.542,67.546,68.038,67.366,-0.03
04 04 2014,67.322,67.48,67.702,67.084,-0.33
04 07 2014,67.701,67.317,67.762,66.958,0.56
04 08 2014,68.048,67.684,68.094,67.664,0.51
04 09 2014,68.366,68.018,68.443,67.647,0.47
04 10 2014,68.535,68.349,68.645,68.239,0.25
04 11 2014,68.667,68.518,68.871,68.495,0.19
04 14 2014,68.494,68.497,68.667,68.311,-0.25
04 15 2014,68.438,68.474,68.585,68.273,-0.08
04 16 2014,68.457,68.428,68.739,68.332,0.03
04 17 2014,68.273,68.431,68.826,68.217,-0.27
04 18 2014,68.273,68.255,68.319,68.167,0
04 21 2014,68.453,68.201,68.702,68.167,0.26
04 22 2014,68.657,68.44,68.909,68.409,0.3
04 23 2014,69.167,68.64,69.398,68.617,0.74
04 24 2014,69.337,69.122,69.345,68.962,0.25
04 25 2014,68.785,69.298,69.358,68.671,-0.8
04 28 2014,68.9,68.761,69.129,68.47,0.17
04 29 2014,68.397,68.883,68.963,68.279,-0.73
04 30 2014,68.519,68.379,68.618,68.161,0.18
05 01 2014,68.535,68.529,68.637,68.431,0.02
05 02 2014,68.559,68.516,68.606,68.016,0.04
05 05 2014,68.626,68.546,68.713,68.36,0.1
05 06 2014,68.605,68.591,68.897,68.417,-0.03
05 07 2014,68.483,68.576,68.806,68.45,-0.18
05 08 2014,68.065,68.465,68.845,67.997,-0.61
05 09 2014,67.639,68.02,68.255,67.539,-0.63
05 12 2014,67.648,67.583,67.772,67.058,0.01
05 13 2014,66.803,67.631,67.675,66.708,-1.25
05 14 2014,66.848,66.775,66.927,66.678,0.07
05 15 2014,66.728,66.82,67.032,65.98,-0.18
05 16 2014,65.627,66.708,66.784,65.581,-1.65
05 19 2014,65.424,65.61,65.788,65.389,-0.31
05 20 2014,65.666,65.397,65.935,65.375,0.37
05 21 2014,65.709,65.63,66.137,65.423,0.07
05 22 2014,65.185,65.7,65.736,65.058,-0.8
05 23 2014,65.311,65.121,65.437,65.03,0.19
05 26 2014,65.618,65.327,65.896,65.146,0.47
05 27 2014,65.836,65.598,66.043,65.523,0.33
05 28 2014,65.614,65.827,66.028,65.475,-0.34
05 29 2014,65.63,65.591,65.898,65.472,0.02
05 30 2014,66.136,65.581,66.269,65.545,0.77
06 02 2014,65.823,66.123,66.17,65.74,-0.47
06 03 2014,66.202,65.81,66.371,65.684,0.58
06 04 2014,66.069,66.18,66.332,65.924,-0.2
06 05 2014,66.483,66.041,66.521,65.537,0.63
06 06 2014,66.213,66.455,66.534,66.082,-0.41
06 09 2014,66,66.193,66.262,65.902,-0.32
06 10 2014,65.856,65.976,66.154,65.732,-0.22
06 11 2014,65.937,65.822,66.071,65.697,0.12
06 12 2014,65.997,65.908,66.096,65.634,0.09
06 13 2014,66.293,65.977,66.63,65.947,0.45
06 16 2014,67.07,66.282,67.111,66.26,1.17
06 17 2014,67.085,67.064,67.392,66.756,0.02
06 18 2014,67.332,67.054,67.441,66.752,0.37
06 19 2014,67.216,67.297,67.421,66.752,-0.17
06 20 2014,67.212,67.192,67.606,67.06,-0.01
06 23 2014,67.274,67.15,67.343,67.039,0.09
06 24 2014,67.323,67.246,67.384,67.084,0.07
06 25 2014,67.285,67.282,67.569,67.216,-0.06
06 26 2014,67.375,67.275,67.453,67.201,0.13
06 27 2014,67.398,67.347,67.47,67.178,0.03
06 30 2014,67.723,67.298,67.778,67.298,0.48
07 01 2014,67.658,67.702,67.871,67.611,-0.1
07 02 2014,67.149,67.626,67.701,67.047,-0.75
07 03 2014,66.876,67.132,67.275,66.773,-0.41
07 04 2014,66.788,66.863,66.952,66.659,-0.13
07 07 2014,67.086,66.741,67.28,66.659,0.45
07 08 2014,66.911,67.062,67.153,66.661,-0.26
07 09 2014,67.072,66.891,67.131,66.812,0.24
07 10 2014,67.464,67.044,67.525,66.865,0.58
07 11 2014,67.318,67.44,67.573,67.103,-0.22
07 14 2014,67.405,67.286,67.627,67.092,0.13
07 15 2014,67.134,67.373,67.537,67.053,-0.4
07 16 2014,66.928,67.106,67.267,66.859,-0.31
07 17 2014,67.07,66.912,67.114,66.8,0.21
07 18 2014,67.069,67.06,67.356,66.926,0
07 21 2014,67.081,67.067,67.239,66.963,0.02
07 22 2014,66.602,67.06,67.118,66.55,-0.71
07 23 2014,66.516,66.574,66.745,66.395,-0.13
07 24 2014,66.617,66.495,66.752,66.342,0.15
07 25 2014,66.376,66.589,66.715,66.293,-0.36
07 28 2014,66.475,66.333,66.662,66.311,0.15
07 29 2014,66.288,66.453,66.57,66.228,-0.28
07 30 2014,66.089,66.264,66.44,65.928,-0.3
07 31 2014,66.643,66.08,66.731,66.051,0.84
