Date,Price,Open,High,Low,Change 
01 01 2014,85.151,84.944,85.244,84.913,0.22
01 02 2014,85.1355,85.137,85.4575,84.917,-0.02
01 03 2014,84.507,85.109,85.441,84.433,-0.74
01 06 2014,84.923,84.49,85.079,84.422,0.49
01 07 2014,84.8345,84.904,85.0935,84.697,-0.1
01 08 2014,84.3925,84.821,84.9505,84.117,-0.52
01 09 2014,84.493,84.362,84.647,84.1,0.12
01 10 2014,84.6245,84.48,84.7485,84.026,0.16
01 13 2014,84.117,84.608,84.702,83.889,-0.6
01 14 2014,84.115,84.092,84.232,83.902,0
01 15 2014,83.78,84.092,84.155,83.571,-0.4
01 16 2014,83.83,83.754,84.049,83.571,0.06
01 17 2014,83.338,83.805,83.836,83.171,-0.59
01 20 2014,83.514,83.331,83.625,83.116,0.21
01 21 2014,83.9255,83.495,83.9875,83.228,0.49
01 22 2014,83.751,83.897,84.188,83.538,-0.21
01 23 2014,84.817,83.735,84.841,83.63,1.27
01 24 2014,85.751,84.804,86.125,84.698,1.1
01 27 2014,86.2775,85.715,86.6605,85.671,0.61
01 28 2014,85.534,86.27,86.445,85.239,-0.86
01 29 2014,85.3595,85.501,85.6355,84.798,-0.2
01 30 2014,84.813,85.327,85.897,84.719,-0.64
01 31 2014,84.5435,84.8,85.0635,84.48,-0.32
02 03 2014,84.619,84.568,84.78,84.35,0.09
02 04 2014,84.5375,84.6,84.9205,84.365,-0.1
02 05 2014,84.726,84.521,84.79,84.238,0.22
02 06 2014,84.774,84.697,84.968,84.093,0.06
02 07 2014,84.953,84.748,84.996,84.474,0.21
02 10 2014,85.229,84.921,85.273,84.578,0.32
02 11 2014,84.8655,85.199,85.4275,84.793,-0.43
02 12 2014,84.415,84.849,84.915,84.2,-0.53
02 13 2014,85.4035,84.393,85.4845,84.343,1.17
02 14 2014,84.695,85.384,85.475,84.673,-0.83
02 17 2014,84.777,84.648,85.13,84.642,0.1
02 18 2014,85.547,84.752,85.663,84.678,0.91
02 19 2014,85.474,85.521,85.68,85.398,-0.09
02 20 2014,85.384,85.454,85.891,85.141,-0.11
02 21 2014,85.3775,85.361,85.4945,85.033,-0.01
02 24 2014,85.26,85.329,85.42,85.079,-0.14
02 25 2014,85.2015,85.247,85.2955,84.972,-0.07
02 26 2014,84.845,85.165,85.267,84.665,-0.42
02 27 2014,84.989,84.826,85.087,84.547,0.17
