Date,usdPrice,usdOpen,usdHigh,usdLow,Change ,Price,Open,High,Low
01 01 2014,"24,773.00","24,773.00","24,773.00","24,773.00",0,381.12,381.1230769,381.1230769,381.1230769
01 02 2014,"24,773.00","24,773.00","24,773.00","24,773.00",0,381.12,381.1230769,381.1230769,381.1230769
01 03 2014,"24,773.00","24,773.00","24,773.00","24,773.00",0,381.12,381.1230769,381.1230769,381.1230769
01 04 2014,"24,773.00","24,773.00","24,773.00","24,773.00",0,381.12,381.1230769,381.1230769,381.1230769
01 06 2014,"24,798.00","24,798.00","24,798.00","24,798.00",0.1,381.51,381.5076923,381.5076923,381.5076923
01 07 2014,"24,787.00","24,787.00","24,787.00","24,787.00",-0.04,381.34,381.3384615,381.3384615,381.3384615
01 08 2014,"24,790.00","24,790.00","24,790.00","24,790.00",0.01,381.38,381.3846154,381.3846154,381.3846154
01 09 2014,"24,812.00","24,812.00","24,812.00","24,812.00",0.09,381.72,381.7230769,381.7230769,381.7230769
01 10 2014,"24,812.00","24,812.00","24,812.00","24,812.00",0,381.72,381.7230769,381.7230769,381.7230769
01 11 2014,"24,812.00","24,812.00","24,812.00","24,812.00",0,381.72,381.7230769,381.7230769,381.7230769
01 13 2014,"24,791.00","24,791.00","24,791.00","24,791.00",-0.08,381.40,381.4,381.4,381.4
01 14 2014,"24,803.00","24,803.00","24,803.00","24,803.00",0.05,381.58,381.5846154,381.5846154,381.5846154
01 15 2014,"24,818.00","24,818.00","24,818.00","24,818.00",0.06,381.82,381.8153846,381.8153846,381.8153846
01 16 2014,"24,831.00","24,831.00","24,831.00","24,831.00",0.05,382.02,382.0153846,382.0153846,382.0153846
01 17 2014,"24,831.00","24,831.00","24,831.00","24,831.00",0,382.02,382.0153846,382.0153846,382.0153846
01 18 2014,"24,831.00","24,831.00","24,831.00","24,831.00",0,382.02,382.0153846,382.0153846,382.0153846
01 20 2014,"24,856.00","24,856.00","24,856.00","24,856.00",0.1,382.40,382.4,382.4,382.4
01 21 2014,"24,848.00","24,848.00","24,848.00","24,848.00",-0.03,382.28,382.2769231,382.2769231,382.2769231
01 22 2014,"24,841.00","24,841.00","24,841.00","24,841.00",-0.03,382.17,382.1692308,382.1692308,382.1692308
01 23 2014,"24,853.00","24,853.00","24,853.00","24,853.00",0.05,382.35,382.3538462,382.3538462,382.3538462
01 24 2014,"24,853.00","24,853.00","24,853.00","24,853.00",0,382.35,382.3538462,382.3538462,382.3538462
01 25 2014,"24,853.00","24,853.00","24,853.00","24,853.00",0,382.35,382.3538462,382.3538462,382.3538462
