Date,usdPrice,usdOpen,usdHigh,usdLow,Change ,Price,Open,High,Low
11 10 2017,104.265,104.105,104.295,103.995,0.35,1.604076923,1.601615385,1.604538462,1.599923077
11 09 2017,103.905,103.905,104.005,103.765,-0.02,1.598538462,1.598538462,1.600076923,1.596384615
11 08 2017,103.93,104.22,104.27,103.89,-0.12,1.598923077,1.603384615,1.604153846,1.598307692
11 07 2017,104.05,103.45,104.11,103.38,0.54,1.600769231,1.591538462,1.601692308,1.590461538
11 06 2017,103.49,103.45,103.59,103.45,0.2,1.592153846,1.591538462,1.593692308,1.591538462
11 03 2017,103.28,103.32,103.42,103.24,-0.1,1.588923077,1.589538462,1.591076923,1.588307692
11 02 2017,103.38,103.26,103.48,103.16,0.03,1.590461538,1.588615385,1.592,1.587076923
11 01 2017,103.35,103.53,103.53,103.22,-0.24,1.59,1.592769231,1.592769231,1.588
10 31 2017,103.6,103.74,103.75,103.56,-0.16,1.593846154,1.596,1.596153846,1.593230769
10 30 2017,103.77,103.82,103.93,103.67,-0.3,1.596461538,1.597230769,1.598923077,1.594923077
10 27 2017,104.08,104.04,104.18,103.95,0.35,1.601230769,1.600615385,1.602769231,1.599230769
10 26 2017,103.72,103.67,103.86,103.56,-0.11,1.595692308,1.594923077,1.597846154,1.593230769
10 25 2017,103.83,104.23,104.32,103.82,-0.25,1.597384615,1.603538462,1.604923077,1.597230769
10 24 2017,104.095,103.955,104.155,103.835,0.06,1.601461538,1.599307692,1.602384615,1.597461538
10 23 2017,104.035,104.115,104.185,103.965,-0.03,1.600538462,1.601769231,1.602846154,1.599461538
10 20 2017,104.065,104.065,104.065,104.065,0,1.601,1.601,1.601,1.601
10 19 2017,104.065,104.065,104.065,104.065,0,1.601,1.601,1.601,1.601
10 18 2017,104.065,103.975,104.255,103.925,0.02,1.601,1.599615385,1.603923077,1.598846154
10 17 2017,104.04,103.67,104.07,103.67,0.43,1.600615385,1.594923077,1.601076923,1.594923077
10 16 2017,103.59,103.69,103.69,103.51,-0.29,1.593692308,1.595230769,1.595230769,1.592461538
10 13 2017,103.89,103.93,103.95,103.8,-0.24,1.598307692,1.598923077,1.599230769,1.596923077
10 12 2017,104.135,104.215,104.255,104.065,-0.09,1.602076923,1.603307692,1.603923077,1.601
10 11 2017,104.23,104.36,104.51,104.2,-0.21,1.603538462,1.605538462,1.607846154,1.603076923
10 10 2017,104.45,104.57,104.6,104.33,-0.11,1.606923077,1.608769231,1.609230769,1.605076923
10 09 2017,104.57,104.6,104.66,104.44,-0.04,1.608769231,1.609230769,1.610153846,1.606769231
10 06 2017,104.61,104.31,104.63,104.31,0.36,1.609384615,1.604769231,1.609692308,1.604769231
10 05 2017,104.23,104.15,104.31,103.96,0.2,1.603538462,1.602307692,1.604769231,1.599384615
10 04 2017,104.025,104.585,104.615,103.915,-0.74,1.600384615,1.609,1.609461538,1.598692308
10 03 2017,104.8,104.95,105.02,104.75,0.33,1.612307692,1.614615385,1.615692308,1.611538462
10 02 2017,104.455,0.005,0.005,0.005,0,1.607,7.69231E-05,7.69231E-05,7.69231E-05
09 29 2017,104.455,104.535,104.745,104.375,-0.34,1.607,1.608230769,1.611461538,1.605769231
09 28 2017,104.81,105.26,105.43,104.79,-0.32,1.612461538,1.619384615,1.622,1.612153846
09 27 2017,105.145,104.585,105.205,104.545,0.41,1.617615385,1.609,1.618538462,1.608384615
09 26 2017,104.72,104.39,104.73,104.25,0.53,1.611076923,1.606,1.611230769,1.603846154
09 25 2017,104.17,103.75,104.28,103.56,0.48,1.602615385,1.596153846,1.604307692,1.593230769
09 22 2017,103.67,103.93,104.25,103.61,-0.02,1.594923077,1.598923077,1.603846154,1.594
09 21 2017,103.695,103.205,103.745,103.105,0.85,1.595307692,1.587769231,1.596076923,1.586230769
09 20 2017,102.825,102.805,103.095,102.785,-0.1,1.581923077,1.581615385,1.586076923,1.581307692
09 19 2017,102.93,102.69,102.94,102.61,0.31,1.583538462,1.579846154,1.583692308,1.578615385
09 18 2017,102.615,102.485,102.625,102.405,0.09,1.578692308,1.576692308,1.578846154,1.575461538
09 15 2017,102.525,102.625,102.625,102.465,-0.06,1.577307692,1.578846154,1.578846154,1.576384615
09 14 2017,102.59,102.68,102.68,102.51,0.19,1.578307692,1.579692308,1.579692308,1.577076923
09 13 2017,102.4,102.38,102.45,102.35,-0.06,1.575384615,1.575076923,1.576153846,1.574615385
09 12 2017,102.465,102.375,102.475,102.295,0.17,1.576384615,1.575,1.576538462,1.573769231
09 11 2017,102.295,102.245,102.295,102.135,0.24,1.573769231,1.573,1.573769231,1.571307692
09 08 2017,102.055,102.145,102.335,102.045,-0.41,1.570076923,1.571461538,1.574384615,1.569923077
09 07 2017,102.48,102.47,102.49,102.37,-0.08,1.576615385,1.576461538,1.576769231,1.574923077
