Date,usdPrice,usdOpen,usdHigh,usdLow,Change ,Price,Open,High,Low
01 01 2014,"21,095.00","21,075.00","21,095.00","21,075.00",0,324.5384615,324.2307692,324.5384615,324.2307692
01 02 2014,"21,110.00","21,085.00","21,135.00","21,060.00",0.07,324.7692308,324.3846154,325.1538462,324
01 03 2014,"21,095.00","21,070.00","21,100.00","21,065.00",-0.07,324.5384615,324.1538462,324.6153846,324.0769231
01 06 2014,"21,100.00","21,070.00","21,100.00","21,060.00",0.02,324.6153846,324.1538462,324.6153846,324
01 07 2014,"21,095.00","21,070.00","21,100.00","21,060.00",-0.02,324.5384615,324.1538462,324.6153846,324
01 08 2014,"21,100.00","21,070.00","21,100.00","21,060.00",0.02,324.6153846,324.1538462,324.6153846,324
01 09 2014,"21,095.00","21,075.00","21,097.00","21,065.00",-0.02,324.5384615,324.2307692,324.5692308,324.0769231
01 10 2014,"21,091.00","21,065.00","21,091.00","21,060.00",-0.02,324.4769231,324.0769231,324.4769231,324
01 13 2014,"21,090.00","21,070.00","21,105.00","21,060.00",0,324.4615385,324.1538462,324.6923077,324
01 14 2014,"21,091.00","21,060.00","21,094.00","21,060.00",0,324.4769231,324,324.5230769,324
01 15 2014,"21,090.00","21,075.00","21,095.00","21,060.00",0,324.4615385,324.2307692,324.5384615,324
01 16 2014,"21,100.00","21,070.00","21,100.00","21,060.00",0.05,324.6153846,324.1538462,324.6153846,324
01 17 2014,"21,090.00","21,070.00","21,090.00","21,060.00",-0.05,324.4615385,324.1538462,324.4615385,324
01 20 2014,"21,090.00","21,070.00","21,100.00","21,060.00",0,324.4615385,324.1538462,324.6153846,324
01 21 2014,"21,095.00","21,060.00","21,100.00","21,060.00",0.02,324.5384615,324,324.6153846,324
01 22 2014,"21,090.00","21,070.00","21,095.00","21,060.00",-0.02,324.4615385,324.1538462,324.5384615,324
01 23 2014,"21,085.00","21,070.00","21,090.00","21,060.00",-0.02,324.3846154,324.1538462,324.4615385,324
01 24 2014,"21,085.00","21,060.00","21,095.00","21,050.00",0,324.3846154,324,324.5384615,323.8461538
01 27 2014,"21,060.00","21,035.00","21,075.00","21,035.00",-0.12,324,323.6153846,324.2307692,323.6153846
01 28 2014,"21,060.00","21,035.00","21,060.00","21,035.00",0,324,323.6153846,324,323.6153846
01 29 2014,"21,060.00","21,035.00","21,060.00","21,035.00",0,324,323.6153846,324,323.6153846
01 30 2014,"21,060.00","21,035.00","21,060.00","21,035.00",0,324,323.6153846,324,323.6153846
01 31 2014,"21,060.00","21,035.00","21,060.00","21,035.00",0,324,323.6153846,324,323.6153846
02 03 2014,"21,060.00","21,035.00","21,060.00","21,035.00",0,324,323.6153846,324,323.6153846
02 04 2014,"21,060.00","21,035.00","21,060.00","21,035.00",0,324,323.6153846,324,323.6153846
02 05 2014,"21,110.00","21,075.00","21,110.00","21,075.00",0.24,324.7692308,324.2307692,324.7692308,324.2307692
02 06 2014,"21,105.00","21,075.00","21,115.00","21,050.00",-0.02,324.6923077,324.2307692,324.8461538,323.8461538
02 07 2014,"21,105.00","21,085.00","21,105.00","21,070.00",0,324.6923077,324.3846154,324.6923077,324.1538462
02 10 2014,"21,105.00","21,085.00","21,110.00","21,060.00",0,324.6923077,324.3846154,324.7692308,324
02 11 2014,"21,105.00","21,085.00","21,105.00","21,080.00",0,324.6923077,324.3846154,324.6923077,324.3076923
02 12 2014,"21,105.00","21,085.00","21,115.00","21,075.00",0,324.6923077,324.3846154,324.8461538,324.2307692
02 13 2014,"21,107.50","21,085.00","21,112.50","21,080.00",0.01,324.7307692,324.3846154,324.8076923,324.3076923
02 14 2014,"21,100.00","21,075.00","21,112.00","21,070.00",-0.04,324.6153846,324.2307692,324.8,324.1538462
02 17 2014,"21,105.00","21,075.00","21,110.00","21,070.00",0.02,324.6923077,324.2307692,324.7692308,324.1538462
02 18 2014,"21,100.00","21,075.00","21,105.00","21,070.00",-0.02,324.6153846,324.2307692,324.6923077,324.1538462
02 19 2014,"21,100.00","21,075.00","21,102.00","21,070.00",0,324.6153846,324.2307692,324.6461538,324.1538462
02 20 2014,"21,100.00","21,075.00","21,102.00","21,070.00",0,324.6153846,324.2307692,324.6461538,324.1538462
02 21 2014,"21,105.00","21,075.00","21,110.00","21,070.00",0.02,324.6923077,324.2307692,324.7692308,324.1538462
02 24 2014,"21,105.00","21,085.00","21,105.00","21,060.00",0,324.6923077,324.3846154,324.6923077,324
02 25 2014,"21,105.00","21,080.00","21,105.00","21,060.00",0,324.6923077,324.3076923,324.6923077,324
02 26 2014,"21,100.00","21,075.00","21,105.00","21,060.00",-0.02,324.6153846,324.2307692,324.6923077,324
02 27 2014,"21,100.00","21,075.00","21,105.00","21,065.00",0,324.6153846,324.2307692,324.6923077,324.0769231
02 28 2014,"21,100.00","21,075.00","21,105.00","21,060.00",0,324.6153846,324.2307692,324.6923077,324
03 03 2014,"21,102.50","21,075.00","21,102.50","21,060.00",0.01,324.6538462,324.2307692,324.6538462,324
03 04 2014,"21,100.00","21,075.00","21,105.00","21,070.00",-0.01,324.6153846,324.2307692,324.6923077,324.1538462
03 05 2014,"21,100.00","21,075.00","21,105.00","21,060.00",0,324.6153846,324.2307692,324.6923077,324
03 06 2014,"21,100.00","21,075.00","21,105.00","21,070.00",0,324.6153846,324.2307692,324.6923077,324.1538462
03 07 2014,"21,100.00","21,075.00","21,100.00","21,070.00",0,324.6153846,324.2307692,324.6153846,324.1538462
03 10 2014,"21,100.00","21,070.00","21,100.00","21,070.00",0,324.6153846,324.1538462,324.6153846,324.1538462
03 11 2014,"21,100.00","21,065.00","21,102.00","21,060.00",0,324.6153846,324.0769231,324.6461538,324
03 12 2014,"21,100.00","21,075.00","21,102.00","21,060.00",0,324.6153846,324.2307692,324.6461538,324
03 13 2014,"21,100.00","21,075.00","21,100.00","21,060.00",0,324.6153846,324.2307692,324.6153846,324
03 14 2014,"21,100.00","21,075.00","21,110.00","21,070.00",0,324.6153846,324.2307692,324.7692308,324.1538462
03 17 2014,"21,092.50","21,080.00","21,104.50","21,070.00",-0.04,324.5,324.3076923,324.6846154,324.1538462
03 18 2014,"21,097.50","21,070.00","21,112.50","21,060.00",0.02,324.5769231,324.1538462,324.8076923,324
03 19 2014,"21,097.50","21,075.00","21,112.50","21,070.00",0,324.5769231,324.2307692,324.8076923,324.1538462
03 20 2014,"21,097.50","21,075.00","21,104.50","21,070.00",0,324.5769231,324.2307692,324.6846154,324.1538462
03 21 2014,"21,097.50","21,075.00","21,112.50","21,065.00",0,324.5769231,324.2307692,324.8076923,324.0769231
03 24 2014,"21,097.50","21,075.00","21,112.50","21,060.00",0,324.5769231,324.2307692,324.8076923,324
03 25 2014,"21,095.00","21,075.00","21,110.00","21,070.00",-0.01,324.5384615,324.2307692,324.7692308,324.1538462
03 26 2014,"21,097.50","21,075.00","21,112.50","21,060.00",0.01,324.5769231,324.2307692,324.8076923,324
03 27 2014,"21,102.50","21,075.00","21,112.50","21,065.00",0.02,324.6538462,324.2307692,324.8076923,324.0769231
03 28 2014,"21,107.50","21,080.00","21,107.50","21,070.00",0.02,324.7307692,324.3076923,324.7307692,324.1538462
03 31 2014,"21,097.50","21,085.00","21,117.50","21,060.00",-0.05,324.5769231,324.3846154,324.8846154,324
04 01 2014,"21,097.50","21,075.00","21,112.50","21,060.00",0,324.5769231,324.2307692,324.8076923,324
04 02 2014,"21,095.00","21,075.00","21,110.00","21,070.00",-0.01,324.5384615,324.2307692,324.7692308,324.1538462
04 03 2014,"21,092.50","21,075.00","21,112.50","21,070.00",-0.01,324.5,324.2307692,324.8076923,324.1538462
04 04 2014,"21,092.50","21,070.00","21,107.50","21,070.00",0,324.5,324.1538462,324.7307692,324.1538462
04 07 2014,"21,095.00","21,070.00","21,110.00","21,070.00",0.01,324.5384615,324.1538462,324.7692308,324.1538462
04 08 2014,"21,095.00","21,075.00","21,110.00","21,070.00",0,324.5384615,324.2307692,324.7692308,324.1538462
04 09 2014,"21,095.00","21,075.00","21,095.00","21,075.00",0,324.5384615,324.2307692,324.5384615,324.2307692
04 10 2014,"21,095.00","21,075.00","21,110.00","21,070.00",0,324.5384615,324.2307692,324.7692308,324.1538462
04 11 2014,"21,097.20","21,075.00","21,097.20","21,070.00",0.01,324.5723077,324.2307692,324.5723077,324.1538462
04 14 2014,"21,097.50","21,070.00","21,117.00","21,070.00",0,324.5769231,324.1538462,324.8769231,324.1538462
04 15 2014,"21,096.50","21,075.00","21,096.50","21,070.00",0,324.5615385,324.2307692,324.5615385,324.1538462
04 16 2014,"21,097.50","21,075.00","21,112.50","21,070.00",0,324.5769231,324.2307692,324.8076923,324.1538462
04 17 2014,"21,097.50","21,075.00","21,172.50","21,070.00",0,324.5769231,324.2307692,325.7307692,324.1538462
04 18 2014,"21,097.50","21,075.00","21,120.50","21,070.00",0,324.5769231,324.2307692,324.9307692,324.1538462
