Date,Price,Open,High,Low,Change 
11 10 2017,47.922,47.816,47.995,47.77,0.24
11 09 2017,47.809,47.67,47.831,47.621,0.29
11 08 2017,47.67,47.688,47.807,47.647,-0.05
11 07 2017,47.696,47.471,47.717,47.429,0.49
11 06 2017,47.465,47.294,47.468,47.257,0.35
11 03 2017,47.298,47.515,47.536,47.285,-0.45
11 02 2017,47.511,47.438,47.584,47.413,0.15
11 01 2017,47.439,47.512,47.547,47.364,-0.15
10 31 2017,47.511,47.665,47.689,47.465,-0.32
10 30 2017,47.663,47.635,47.691,47.523,0.06
10 27 2017,47.633,47.413,47.667,47.334,0.43
10 26 2017,47.428,47.73,47.786,47.407,-0.62
10 25 2017,47.724,47.767,47.873,47.62,-0.08
10 24 2017,47.762,47.744,47.839,47.682,0.05
10 23 2017,47.739,47.766,47.806,47.691,-0.08
10 20 2017,47.776,47.912,47.933,47.758,-0.28
10 19 2017,47.912,47.942,47.984,47.827,-0.07
10 18 2017,47.946,47.984,48.044,47.866,-0.05
10 17 2017,47.968,47.876,47.993,47.742,0.18
10 16 2017,47.882,47.949,47.958,47.815,-0.15
10 13 2017,47.956,48.101,48.166,47.842,-0.31
10 12 2017,48.105,48.111,48.175,48.005,-0.01
10 11 2017,48.111,48.118,48.221,47.998,-0.01
10 10 2017,48.114,47.938,48.163,47.916,0.39
10 09 2017,47.926,47.889,47.98,47.858,0
10 06 2017,47.924,47.755,47.966,47.643,0.36
10 05 2017,47.752,47.766,47.828,47.681,-0.05
10 04 2017,47.776,48.075,48.209,47.724,-0.64
10 03 2017,48.086,47.956,48.139,47.809,0.25
10 02 2017,47.968,48.112,48.123,47.911,-0.3
09 29 2017,48.112,48.206,48.245,48.041,-0.22
09 28 2017,48.218,48.338,48.399,48.115,-0.24
09 27 2017,48.336,48.325,48.438,48.202,0.01
09 26 2017,48.33,48.191,48.392,48.176,0.24
09 25 2017,48.212,48.141,48.266,48.051,0.14
09 22 2017,48.146,48.018,48.302,47.979,0.26
09 21 2017,48.02,47.669,48.038,47.521,0.73
09 20 2017,47.672,47.73,47.974,47.553,-0.16
09 19 2017,47.748,47.611,47.773,47.548,0.31
09 18 2017,47.6,47.653,47.755,47.533,-0.12
09 15 2017,47.657,47.626,47.755,47.566,0.1
09 14 2017,47.609,47.376,47.63,47.344,0.44
09 13 2017,47.401,47.536,47.639,47.358,-0.24
09 12 2017,47.517,47.474,47.603,47.438,0.1
09 11 2017,47.471,47.556,47.617,47.437,-0.11
09 08 2017,47.525,47.767,47.903,47.492,-0.54
09 07 2017,47.782,47.444,47.791,47.411,0.71
09 06 2017,47.447,47.386,47.528,47.343,0.13
09 05 2017,47.387,47.189,47.456,47.168,0.4
09 04 2017,47.2,47.16,47.297,47.099,0.08
09 01 2017,47.163,47.158,47.407,47.108,0.02
08 31 2017,47.155,47.126,47.173,46.969,0.1
08 30 2017,47.107,47.247,47.292,47.08,-0.29
08 29 2017,47.242,47.206,47.404,47.123,0.08
08 28 2017,47.206,47.224,47.24,47.089,-0.03
08 25 2017,47.219,47.033,47.24,47.012,0.41
08 24 2017,47.025,47.062,47.096,46.992,-0.07
08 23 2017,47.059,47.031,47.097,46.996,0.06
08 22 2017,47.029,47.099,47.161,47.005,-0.18
08 21 2017,47.114,47.023,47.148,46.968,0.19
08 18 2017,47.023,46.958,47.065,46.916,0.14
08 17 2017,46.958,47.093,47.123,46.931,-0.3
08 16 2017,47.099,46.908,47.116,46.863,0.45
08 15 2017,46.889,47.038,47.074,46.847,-0.31
08 14 2017,47.033,47.127,47.206,46.993,-0.22
08 11 2017,47.139,46.994,47.202,46.956,0.27
08 10 2017,47.01,46.821,47.054,46.794,0.38
08 09 2017,46.83,46.712,46.875,46.65,0.23
08 08 2017,46.724,46.816,46.914,46.671,-0.26
08 07 2017,46.848,46.759,46.864,46.721,0.12
08 04 2017,46.791,46.865,47.035,46.708,-0.2
08 03 2017,46.886,46.801,46.922,46.708,0.15
08 02 2017,46.818,47.187,47.211,46.754,-0.81
08 01 2017,47.198,47.344,47.396,47.145,-0.4
07 31 2017,47.386,47.23,47.404,47.151,0.27
07 28 2017,47.26,47.157,47.281,47.088,0.18
07 27 2017,47.176,47.373,47.469,47.094,-0.5
07 26 2017,47.412,47.251,47.498,47.177,0.31
07 25 2017,47.264,47.266,47.371,47.184,-0.03
07 24 2017,47.278,47.203,47.378,47.196,0.04
07 21 2017,47.261,47.106,47.295,47.051,0.3
07 20 2017,47.118,46.946,47.166,46.901,0.31
07 19 2017,46.971,47.023,47.099,46.914,-0.21
07 18 2017,47.068,46.966,47.146,46.904,0.16
07 17 2017,46.992,46.945,47.083,46.894,0.04
07 14 2017,46.975,46.9,47.057,46.791,0.13
07 13 2017,46.912,46.777,46.926,46.723,0.23
07 12 2017,46.804,46.694,46.886,46.669,0.19
07 11 2017,46.717,46.531,46.733,46.501,0.34
07 10 2017,46.559,46.73,46.792,46.497,-0.43
07 07 2017,46.759,46.814,46.885,46.684,-0.14
07 06 2017,46.826,46.922,46.965,46.77,-0.22
07 05 2017,46.928,46.83,46.95,46.782,0.17
07 04 2017,46.847,46.884,46.968,46.779,-0.1
07 03 2017,46.896,46.924,46.994,46.854,-0.11
06 30 2017,46.947,46.872,47.079,46.848,0.14
06 29 2017,46.88,46.661,46.901,46.633,0.43
06 28 2017,46.681,46.475,46.74,46.441,0.44
06 27 2017,46.477,46.396,46.57,46.363,0.12
06 26 2017,46.421,46.489,46.508,46.369,-0.15
06 23 2017,46.492,46.454,46.584,46.418,0.04
06 22 2017,46.474,46.431,46.511,46.374,0.05
06 21 2017,46.452,46.441,46.55,46.351,-0.01
06 20 2017,46.458,46.485,46.541,46.388,-0.08
06 19 2017,46.495,46.577,46.678,46.455,-0.22
06 16 2017,46.596,46.633,46.755,46.52,-0.14
06 15 2017,46.663,46.686,46.76,46.604,-0.08
06 14 2017,46.701,46.561,46.861,46.525,0.23
06 13 2017,46.592,46.569,46.653,46.505,0.03
06 12 2017,46.576,46.386,46.617,46.366,0.37
06 09 2017,46.405,46.514,46.529,46.356,-0.29
06 08 2017,46.541,46.583,46.634,46.421,-0.15
06 07 2017,46.609,46.685,46.748,46.515,-0.19
06 06 2017,46.699,46.559,46.757,46.538,0.27
06 05 2017,46.575,46.636,46.654,46.5,-0.17
06 02 2017,46.652,46.467,46.67,46.401,0.32
06 01 2017,46.501,46.621,46.682,46.414,-0.28
05 31 2017,46.633,46.677,46.693,46.565,-0.12
05 30 2017,46.688,46.542,46.74,46.482,0.29
05 29 2017,46.554,46.658,46.68,46.532,-0.28
05 26 2017,46.687,46.529,46.718,46.523,0.29
05 25 2017,46.554,46.751,46.831,46.516,-0.49
05 24 2017,46.781,46.656,46.788,46.562,0.23
05 23 2017,46.672,46.512,46.814,46.455,0.3
05 22 2017,46.532,46.557,46.644,46.436,-0.18
05 19 2017,46.615,46.572,46.731,46.425,0.06
05 18 2017,46.587,46.12,46.645,46.043,0.98
05 17 2017,46.133,45.877,46.153,45.85,0.5
05 16 2017,45.905,45.798,45.945,45.772,0.15
05 15 2017,45.834,45.731,45.9,45.604,0.18
05 12 2017,45.752,45.741,45.775,45.577,-0.03
05 11 2017,45.765,45.766,45.816,45.648,-0.09
05 10 2017,45.805,45.817,45.907,45.715,-0.03
05 09 2017,45.821,45.755,45.911,45.696,0.09
05 08 2017,45.781,45.762,45.852,45.69,0
05 05 2017,45.781,45.828,45.9,45.723,-0.15
05 04 2017,45.848,45.897,46.001,45.8,-0.15
05 03 2017,45.916,46.015,46.104,45.887,-0.26
05 02 2017,46.038,45.984,46.116,45.944,0.1
05 01 2017,45.993,45.993,46.074,45.953,-0.06
04 28 2017,46.02,45.881,46.165,45.838,0.27
04 27 2017,45.898,45.908,46.001,45.819,-0.07
04 26 2017,45.932,46.131,46.22,45.802,-0.47
04 25 2017,46.15,46.295,46.331,46.094,-0.34
04 24 2017,46.307,46.35,46.425,46.191,0.06
04 21 2017,46.279,46.209,46.33,46.166,0.11
04 20 2017,46.228,46.228,46.307,46.18,-0.02
04 19 2017,46.236,46.265,46.306,46.118,-0.1
04 18 2017,46.284,46.096,46.297,46.072,0.36
04 17 2017,46.118,46.125,46.281,46.073,-0.03
04 14 2017,46.132,46.064,46.175,46.041,0.09
04 13 2017,46.091,46.356,46.44,46.041,-0.6
04 12 2017,46.371,45.982,46.371,45.943,0.84
04 11 2017,45.984,45.951,46.036,45.831,0.02
04 10 2017,45.974,45.738,46.007,45.621,0.49
04 07 2017,45.75,46.049,46.178,45.703,-0.68
04 06 2017,46.062,46.296,46.42,45.995,-0.53
04 05 2017,46.306,46.522,46.617,46.24,-0.51
04 04 2017,46.542,46.496,46.574,46.35,0.07
04 03 2017,46.508,46.384,46.608,46.361,0.19
