Date,Price,Open,High,Low,Change ,calamities
01 01 2014,61.91,61.828,61.995,61.81,0.16,
01 02 2014,62.27,61.892,62.415,61.755,0.58,
01 03 2014,62.19,62.347,62.565,62.155,-0.13,
01 06 2014,62.315,62.355,62.465,62.225,0.2,
01 07 2014,62.305,62.405,62.475,62.295,-0.02,
01 08 2014,62.165,62.215,62.282,62.085,-0.22,
01 09 2014,62.095,62.125,62.245,61.975,-0.11,
01 10 2014,61.907,62.005,62.005,61.825,-0.3,
1 13 2014,61.525,61.605,61.64,61.425,-0.62,
1 14 2014,61.49,61.49,61.49,61.49,-0.06,
1 15 2014,61.58,61.67,61.72,61.43,0.15,
1 16 2014,61.54,61.655,61.71,61.51,-0.06,
1 17 2014,61.545,61.485,61.555,61.32,0.01,
1 20 2014,61.625,61.675,61.675,61.53,0.13,
1 21 2014,61.885,61.545,61.945,61.455,0.42,
1 22 2014,61.82,61.905,62.025,61.716,-0.11,
1 23 2014,61.933,61.815,62.05,61.815,0.18,
1 24 2014,62.695,61.945,62.745,61.945,1.23,
1 27 2014,63.105,62.885,63.325,62.655,0.65,
1 28 2014,62.575,63.195,63.195,62.515,-0.84,
1 29 2014,62.475,62.345,62.59,62.115,-0.16,
1 30 2014,62.565,62.905,62.905,62.545,0.14,
1 31 2014,62.685,62.405,62.755,62.355,0.19,
02 03 2014,62.565,62.705,62.79,62.555,-0.19,
02 04 2014,62.53,62.655,62.835,62.487,-0.06,
02 05 2014,62.6,62.39,62.62,62.36,0.11,
02 06 2014,62.38,62.37,62.55,62.36,-0.35,
02 07 2014,62.305,62.305,62.415,62.25,-0.12,
02 10 2014,62.455,62.375,62.505,62.09,0.24,
02 11 2014,62.225,62.355,62.455,62.19,-0.37,
02 12 2014,62.095,62.105,62.185,62.045,-0.21,
2 13 2014,62.425,62.005,62.465,62.005,0.53,
2 14 2014,61.855,62.245,62.37,61.845,-0.91,
2 17 2014,61.845,61.965,62.085,61.825,-0.02,
2 18 2014,62.18,62.02,62.31,61.96,0.54,
2 19 2014,62.24,62.2,62.24,62.2,0.1,
2 20 2014,62.24,62.38,62.45,62.213,0,
2 21 2014,62.14,62.19,62.19,62.055,-0.16,
2 24 2014,62.075,62.105,62.16,61.945,-0.1,
2 25 2014,61.985,61.985,62.05,61.86,-0.14,
2 26 2014,61.985,61.965,62.055,61.885,0,
2 27 2014,61.995,61.995,61.995,61.995,0.02,
2 28 2014,61.795,62.105,62.14,61.755,-0.32,
03 03 2014,62.045,61.955,62.09,61.815,0.4,
