COUNTRY,x
Algeria,1
Angola,2
Argentina,3
Australia,4
Austria,5
Bangladesh Pr,6
Belgium,7
Brazil,8
Canada,9
Chile,10
China P Rp,11
Colombia,3
Denmark,12
Egypt A Rp,13
Finland,14
France,15
Germany,15
Ghana,16
Hong Kong,17
Indonesia,18
Iran,13
Iraq,1
Ireland,19
Israel,20
Italy,7
Japan,21
Jordan,1
Kenya,22
Korea Rp,21
Kuwait,23
Malaysia,24
Mauritius,25
Mexico,26
Morocco,27
Mozambique,28
Myanmar,29
Nepal,6
Netherland,15
Nigeria,22
Oman,23
Pakistan Ir,30
Peru,31
Philippines,26
Poland,32
Qatar,23
Russia,9
Saudi Arab,24
Singapore,24
South Africa,4
Spain,7
Sri Lanka Dsr,6
Sudan,16
Sweden,33
Switzerland,34
Taiwan,35
Tanzania Rep,22
Thailand,7
Turkey,7
U Arab Emts,36
U K,15
U S A,36
Ukraine,37
Unspecified,38
Venezuela,39
Vietnam Soc Rep,18
